,Ratio of delays with adaptation over delays without adaptation,,,,,
Tract ID,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
12011070101,1.000,0.110,0.002,0.002,0.002,0.002
12011070102,1.000,0.080,0.002,0.002,0.002,0.002
12011070204,1.000,0.368,0.000,0.001,0.001,0.001
12011070205,0.000,0.000,0.000,0.000,0.000,0.000
12011070207,0.000,0.000,0.000,0.000,0.000,0.000
12011070208,0.000,0.000,0.000,0.000,0.000,0.000
12011070209,0.000,0.000,0.000,0.000,0.000,0.000
12011070210,0.000,0.000,0.000,0.000,0.000,0.000
12011070211,0.000,0.000,0.000,0.000,0.000,0.000
12011070304,0.000,0.000,0.000,0.000,0.000,0.000
12011070305,0.000,0.000,0.000,0.000,0.000,0.000
12011070306,0.000,0.000,0.000,0.000,0.000,0.000
12011070310,0.000,0.000,0.000,0.000,0.000,0.000
12011070311,0.000,0.000,0.000,0.000,0.000,0.000
12011070312,0.000,0.000,0.000,0.000,0.000,0.000
12011070313,0.000,0.000,0.000,0.000,0.000,0.000
12011070314,0.000,0.000,0.000,0.000,0.000,0.000
12011070315,0.000,0.000,0.000,0.000,0.000,0.000
12011070316,0.000,0.000,0.000,0.000,0.000,0.000
12011070317,0.000,0.000,0.000,0.000,0.000,0.000
12011070318,0.000,0.000,0.000,0.000,0.000,0.000
12011070319,0.000,0.000,0.000,0.000,0.000,0.000
12011070320,0.000,0.000,0.000,0.000,0.000,0.000
12011070321,0.000,0.000,0.000,0.000,0.000,0.000
12011070322,0.000,0.000,0.000,0.000,0.000,0.000
12011070401,0.000,0.000,0.000,0.000,0.000,0.000
12011070402,0.000,0.000,0.000,0.000,0.000,0.000
12011070403,0.000,0.000,0.000,0.000,0.000,0.000
12011070404,0.000,0.000,0.000,0.000,0.000,0.000
12011070405,0.000,0.000,0.000,0.000,0.000,0.000
12011070501,0.000,0.000,0.000,0.000,0.000,0.000
12011070502,0.000,0.000,0.000,0.000,0.000,0.000
12011070601,1.000,0.368,0.000,0.001,0.001,0.001
12011070602,1.001,0.369,0.001,0.002,0.001,0.002
12011080101,1.000,0.109,0.001,0.001,0.001,0.001
12011080102,0.955,0.048,0.000,0.000,0.000,0.001
12011080103,1.000,0.100,0.001,0.001,0.001,0.001
12011080200,0.955,0.048,0.000,0.000,0.000,0.001
12011080402,1.000,0.091,0.001,0.001,0.001,0.001
12011080403,1.000,0.080,0.001,0.001,0.001,0.001
12011080405,1.000,0.100,0.001,0.001,0.001,0.001
12011080406,1.000,0.100,0.001,0.001,0.001,0.001
12011080500,1.000,0.109,0.001,0.001,0.001,0.001
12011090101,1.000,0.070,0.001,0.001,0.001,0.001
12011090102,0.955,0.048,0.000,0.000,0.000,0.001
12011090200,1.000,0.100,0.001,0.001,0.001,0.001
12011090301,1.000,0.070,0.001,0.001,0.001,0.001
12011090302,1.000,0.091,0.001,0.001,0.001,0.001
12011090401,1.000,0.070,0.001,0.001,0.001,0.001
12011090404,1.000,0.070,0.001,0.001,0.001,0.001
12011090502,1.000,0.091,0.001,0.001,0.001,0.001
12011090503,1.000,0.070,0.001,0.001,0.001,0.001
12011090504,1.000,0.070,0.001,0.001,0.001,0.001
12011090601,0.000,0.000,0.000,0.000,0.000,0.000
12011090602,1.000,0.076,0.003,0.003,0.003,0.003
12011090700,1.000,0.161,0.005,0.006,0.006,0.006
12011090801,1.000,0.070,0.001,0.001,0.001,0.001
12011090802,1.000,0.070,0.001,0.001,0.001,0.001
12011090900,1.000,0.070,0.001,0.001,0.001,0.001
12011091000,1.000,0.070,0.001,0.001,0.001,0.001
12011091201,1.000,0.162,0.006,0.006,0.006,0.006
12011091202,1.000,0.091,0.002,0.002,0.002,0.002
12011091300,0.000,0.000,0.000,0.000,0.000,0.000
12011091400,1.000,0.091,0.002,0.002,0.002,0.002
12011091500,1.000,0.070,0.002,0.002,0.002,0.002
12011091600,1.000,0.065,0.002,0.002,0.002,0.002
12011091702,1.000,0.065,0.002,0.002,0.002,0.002
12011091802,1.000,0.065,0.002,0.002,0.002,0.002
12011091901,1.000,0.070,0.001,0.001,0.001,0.001
12011091902,1.000,0.070,0.001,0.001,0.001,0.001
12011092000,1.000,0.070,0.001,0.001,0.001,0.001
12011100101,1.000,0.065,0.001,0.002,0.002,0.002
12011100103,1.000,0.091,0.002,0.002,0.002,0.002
12011100104,1.000,0.070,0.002,0.002,0.002,0.002
12011100105,1.000,0.091,0.002,0.002,0.002,0.002
12011100201,1.000,0.065,0.001,0.002,0.002,0.002
12011100202,1.000,0.065,0.001,0.002,0.002,0.002
12011100300,1.000,0.091,0.002,0.002,0.002,0.002
12011100400,1.000,0.065,0.001,0.002,0.002,0.002
12011100501,1.000,0.065,0.001,0.002,0.002,0.002
12011100502,1.000,0.091,0.002,0.002,0.002,0.002
12011100600,1.000,0.091,0.002,0.002,0.002,0.002
12011100700,1.000,0.091,0.002,0.002,0.002,0.002
12011100801,1.000,0.070,0.002,0.002,0.002,0.002
12011100802,1.000,0.070,0.002,0.002,0.002,0.003
12011110100,1.000,0.091,0.002,0.002,0.002,0.002
12011110301,0.000,0.000,0.000,0.000,0.000,0.000
12011110302,0.000,0.000,0.000,0.000,0.000,0.000
12011110303,0.000,0.000,0.000,0.000,0.000,0.000
12011110307,0.000,0.000,0.000,0.000,0.000,0.000
12011110308,0.000,0.000,0.000,0.000,0.000,0.000
12011110309,0.000,0.000,0.000,0.000,0.000,0.000
12011110311,0.000,0.000,0.000,0.000,0.000,0.000
12011110312,0.000,0.000,0.000,0.000,0.000,0.000
12011110313,0.000,0.000,0.000,0.000,0.000,0.000
12011110319,0.000,0.000,0.000,0.000,0.000,0.000
12011110320,0.000,0.000,0.000,0.000,0.000,0.000
12011110321,0.000,0.000,0.000,0.000,0.000,0.000
12011110322,0.000,0.000,0.000,0.000,0.000,0.000
12011110323,0.000,0.000,0.000,0.000,0.000,0.000
12011110324,0.000,0.000,0.000,0.000,0.000,0.000
12011110325,0.000,0.000,0.000,0.000,0.000,0.000
12011110326,0.000,0.000,0.000,0.000,0.000,0.000
12011110327,0.000,0.000,0.000,0.000,0.000,0.000
12011110328,0.000,0.000,0.000,0.000,0.000,0.000
12011110330,0.000,0.000,0.000,0.000,0.000,0.000
12011110331,0.000,0.000,0.000,0.000,0.000,0.000
12011110332,0.000,0.000,0.000,0.000,0.000,0.000
12011110333,0.000,0.000,0.000,0.000,0.000,0.000
12011110334,0.000,0.000,0.000,0.000,0.000,0.000
12011110335,0.000,0.000,0.000,0.000,0.000,0.000
12011110336,0.000,0.000,0.000,0.000,0.000,0.000
12011110337,0.000,0.000,0.000,0.000,0.000,0.000
12011110338,0.000,0.000,0.000,0.000,0.000,0.000
12011110339,0.000,0.000,0.000,0.000,0.000,0.000
12011110340,0.000,0.000,0.000,0.000,0.000,0.000
12011110341,0.000,0.000,0.000,0.000,0.000,0.000
12011110342,0.000,0.000,0.000,0.000,0.000,0.000
12011110343,0.000,0.000,0.000,0.000,0.000,0.000
12011110402,0.000,0.000,0.000,0.000,0.000,0.000
12011110403,0.000,0.000,0.000,0.000,0.000,0.000
12011110404,0.000,0.000,0.000,0.000,0.000,0.000
12011110501,1.000,0.372,0.001,0.003,0.001,0.003
12011110502,1.000,0.053,0.000,0.000,0.000,0.000
12011110600,0.955,0.044,0.000,0.000,0.000,0.001
12011980000,0.949,0.048,0.001,0.001,0.001,0.001
12015010100,0.000,0.000,0.000,0.000,0.000,0.000
12015010200,0.000,0.000,0.000,0.000,0.000,0.000
12015010301,0.000,0.000,0.000,0.000,0.000,0.000
12015010302,0.000,0.000,0.000,0.000,0.000,0.000
12015010401,0.000,0.000,0.000,0.000,0.000,0.000
12015010402,0.000,0.000,0.000,0.000,0.000,0.000
12015010403,0.000,0.000,0.000,0.000,0.000,0.000
12015010404,0.000,0.000,0.000,0.000,0.000,0.000
12015010501,0.000,0.000,0.000,0.000,0.000,0.000
12015010502,0.000,0.000,0.000,0.000,0.000,0.000
12015020103,0.000,0.000,0.000,0.000,0.000,0.000
12015020301,0.000,0.000,0.000,0.000,0.000,0.000
12015020302,0.000,0.000,0.000,0.000,0.000,0.000
12015020303,0.000,0.000,0.000,0.000,0.000,0.000
12015020400,0.000,0.000,0.000,0.000,0.000,0.000
12015020501,0.000,0.000,0.000,0.000,0.000,0.000
12015020502,0.000,0.000,0.000,0.000,0.000,0.000
12015020601,0.000,0.000,0.000,0.000,0.000,0.000
12015020602,0.000,0.000,0.000,0.000,0.000,0.000
12015020700,0.000,0.000,0.000,0.000,0.000,0.000
12015020800,0.000,0.000,0.000,0.000,0.000,0.000
12015020900,0.000,0.000,0.000,0.000,0.000,0.000
12015021001,0.000,0.000,0.000,0.000,0.000,0.000
12015021002,0.000,0.000,0.000,0.000,0.000,0.000
12015021003,0.000,0.000,0.000,0.000,0.000,0.000
12015030100,0.000,0.000,0.000,0.000,0.000,0.000
12015030200,0.000,0.000,0.000,0.000,0.000,0.000
12015030301,0.000,0.000,0.000,0.000,0.000,0.000
12015030302,0.000,0.000,0.000,0.000,0.000,0.000
12015030401,0.000,0.000,0.000,0.000,0.000,0.000
12015030402,0.000,0.000,0.000,0.000,0.000,0.000
12015030501,0.000,0.000,0.000,0.000,0.000,0.000
12015030502,0.000,0.000,0.000,0.000,0.000,0.000
12015030503,0.000,0.000,0.000,0.000,0.000,0.000
12017450202,1.000,0.055,0.000,0.000,0.000,0.000
12017450303,0.586,0.075,0.000,0.000,0.000,0.000
12017450304,0.490,0.057,0.000,0.000,0.000,0.000
12017450400,0.490,0.057,0.000,0.000,0.000,0.000
12017450500,0.621,0.082,0.000,0.000,0.000,0.000
12017450601,0.586,0.075,0.000,0.000,0.000,0.000
12017450602,0.586,0.075,0.000,0.000,0.000,0.000
12017450701,0.333,0.014,0.000,0.000,0.000,0.000
12017451400,0.621,0.082,0.000,0.000,0.000,0.000
12017451502,0.557,0.086,0.000,0.000,0.000,0.000
12017451601,1.000,0.152,0.000,0.001,0.000,0.000
12017451602,1.000,0.152,0.000,0.001,0.000,0.000
12017451700,0.621,0.082,0.000,0.000,0.000,0.000
12019030102,0.000,0.000,0.000,0.000,0.000,0.000
12019030103,0.000,0.000,0.000,0.000,0.000,0.000
12019030201,0.000,0.000,0.000,0.000,0.000,0.000
12019030202,0.000,0.000,0.000,0.000,0.000,0.000
12019030203,0.000,0.000,0.000,0.000,0.000,0.000
12019030301,0.000,0.000,0.000,0.000,0.000,0.000
12019030303,0.000,0.000,0.000,0.000,0.000,0.000
12019030304,0.000,0.000,0.000,0.000,0.000,0.000
12019030500,0.000,0.000,0.000,0.000,0.000,0.000
12019030600,0.000,0.000,0.000,0.000,0.000,0.000
12019030701,0.000,0.000,0.000,0.000,0.000,0.000
12019030702,0.000,0.000,0.000,0.000,0.000,0.000
12019030703,0.000,0.000,0.000,0.000,0.000,0.000
12019030801,0.000,0.000,0.000,0.000,0.000,0.000
12019030802,0.000,0.000,0.000,0.000,0.000,0.000
12019030902,0.000,0.000,0.000,0.000,0.000,0.000
12019030903,0.000,0.000,0.000,0.000,0.000,0.000
12019030904,0.000,0.000,0.000,0.000,0.000,0.000
12019031101,0.000,0.000,0.000,0.000,0.000,0.000
12019031200,0.000,0.000,0.000,0.000,0.000,0.000
12019031300,0.000,0.000,0.000,0.000,0.000,0.000
12019031400,0.000,0.000,0.000,0.000,0.000,0.000
12019031500,0.000,0.000,0.000,0.000,0.000,0.000
12021000101,0.000,0.000,0.000,0.000,0.000,0.000
12021000102,0.000,0.000,0.000,0.000,0.000,0.000
12021000200,0.000,0.000,0.000,0.000,0.000,0.000
12021000301,0.000,0.000,0.000,0.000,0.000,0.000
12021000302,0.000,0.000,0.000,0.000,0.000,0.000
12021000401,0.000,0.000,0.000,0.000,0.000,0.000
12021000402,0.000,0.000,0.000,0.000,0.000,0.000
12021000500,0.000,0.000,0.000,0.000,0.000,0.000
12021000600,0.000,0.000,0.000,0.000,0.000,0.000
12021000700,0.000,0.000,0.000,0.000,0.000,0.000
12021010105,0.000,0.000,0.000,0.000,0.000,0.000
12021010106,0.000,0.000,0.000,0.000,0.000,0.000
12021010107,0.000,0.000,0.000,0.000,0.000,0.000
12021010108,0.000,0.000,0.000,0.000,0.000,0.000
12021010109,0.000,0.000,0.000,0.000,0.000,0.000
12021010110,0.000,0.000,0.000,0.000,0.000,0.000
12021010205,0.000,0.000,0.000,0.000,0.000,0.000
12021010208,0.000,0.000,0.000,0.000,0.000,0.000
12021010209,0.000,0.000,0.000,0.000,0.000,0.000
12021010210,0.000,0.000,0.000,0.000,0.000,0.000
12021010211,0.000,0.000,0.000,0.000,0.000,0.000
12021010213,0.000,0.000,0.000,0.000,0.000,0.000
12021010215,0.000,0.000,0.000,0.000,0.000,0.000
12021010401,0.000,0.000,0.000,0.000,0.000,0.000
12021010418,0.000,0.000,0.000,0.000,0.000,0.000
12021010506,0.000,0.000,0.000,0.000,0.000,0.000
12021010508,0.000,0.000,0.000,0.000,0.000,0.000
12021010509,0.000,0.000,0.000,0.000,0.000,0.000
12021010510,0.000,0.000,0.000,0.000,0.000,0.000
12021010601,0.000,0.000,0.000,0.000,0.000,0.000
12021010602,0.000,0.000,0.000,0.000,0.000,0.000
12021010604,0.000,0.000,0.000,0.000,0.000,0.000
12021010605,0.000,0.000,0.000,0.000,0.000,0.000
12021010606,0.000,0.000,0.000,0.000,0.000,0.000
12021010701,0.000,0.000,0.000,0.000,0.000,0.000
12021010702,0.000,0.000,0.000,0.000,0.000,0.000
12021010801,0.000,0.000,0.000,0.000,0.000,0.000
12021010802,0.000,0.000,0.000,0.000,0.000,0.000
12021010803,0.000,0.000,0.000,0.000,0.000,0.000
12021010902,0.000,0.000,0.000,0.000,0.000,0.000
12021010903,0.000,0.000,0.000,0.000,0.000,0.000
12021010904,0.000,0.000,0.000,0.000,0.000,0.000
12021010905,0.000,0.000,0.000,0.000,0.000,0.000
12021011001,0.000,0.000,0.000,0.000,0.000,0.000
12021011002,0.000,0.000,0.000,0.000,0.000,0.000
12021011102,1.000,1.000,1.000,1.000,1.000,1.000
12021011103,0.000,0.000,0.000,0.000,0.000,0.000
12021011105,0.000,0.000,0.000,0.000,0.000,0.000
12021011106,0.000,0.000,0.000,0.000,0.000,0.000
12027010302,0.000,0.000,0.000,0.000,0.000,0.000
12027010403,0.000,0.000,0.000,0.000,0.000,0.000
12027010405,0.000,0.000,0.000,0.000,0.000,0.000
12027010406,0.000,0.000,0.000,0.000,0.000,0.000
12029970102,1.000,1.000,1.000,1.000,1.000,1.000
12029970200,1.000,1.000,1.000,1.000,1.000,1.000
12031000100,1.000,1.000,0.463,0.000,0.002,0.001
12031000200,1.000,1.000,0.414,0.000,0.002,0.001
12031000300,1.000,1.000,0.414,0.000,0.002,0.001
12031000600,1.000,1.000,0.414,0.000,0.002,0.001
12031000700,1.000,1.000,0.414,0.000,0.002,0.001
12031000800,1.000,1.000,0.414,0.000,0.002,0.001
12031001000,1.000,1.000,0.414,0.000,0.002,0.001
12031001100,1.000,1.000,0.414,0.000,0.002,0.001
12031001400,1.000,1.000,0.463,0.000,0.002,0.001
12031002102,1.000,1.000,0.414,0.000,0.002,0.001
12031002200,1.000,1.000,0.414,0.000,0.002,0.001
12031002300,1.000,1.000,0.414,0.000,0.002,0.001
12031002400,1.000,1.000,0.414,0.000,0.002,0.001
12031002600,1.000,1.000,0.414,0.000,0.002,0.001
12031010101,0.000,0.000,0.000,0.000,0.000,0.000
12031010102,0.000,0.000,0.000,0.000,0.000,0.000
12031010103,1.000,1.000,0.274,0.000,0.002,0.003
12031010201,0.000,0.000,0.000,0.000,0.000,0.000
12031010202,1.000,1.000,0.463,0.000,0.002,0.001
12031010301,1.000,1.000,0.572,0.000,0.002,0.002
12031010303,1.000,1.000,0.572,0.000,0.002,0.002
12031010304,1.000,1.000,0.572,0.000,0.002,0.002
12031010401,1.000,1.000,0.572,0.000,0.002,0.002
12031010402,1.000,1.000,0.463,0.000,0.002,0.001
12031010500,1.000,1.000,0.489,0.000,0.002,0.001
12031010600,1.000,1.000,0.463,0.000,0.002,0.001
12031010700,1.000,1.000,0.463,0.000,0.002,0.001
12031010800,1.000,1.000,0.489,0.000,0.002,0.001
12031010900,1.000,1.000,0.463,0.000,0.002,0.001
12031011000,1.000,1.000,0.463,0.000,0.002,0.001
12031011100,1.000,1.000,0.463,0.000,0.002,0.001
12031011200,1.000,1.000,0.463,0.000,0.002,0.001
12031011300,1.000,1.000,0.463,0.000,0.002,0.001
12031011400,1.000,1.000,0.463,0.000,0.002,0.001
12031011500,1.000,1.000,0.463,0.000,0.002,0.001
12031011600,1.000,1.000,0.463,0.000,0.002,0.001
12031011700,1.000,1.000,0.463,0.000,0.002,0.001
12031012000,1.000,1.000,0.414,0.000,0.002,0.001
12031012200,1.000,1.000,0.414,0.000,0.002,0.001
12031012400,1.000,1.000,0.414,0.000,0.002,0.001
12031012500,1.000,1.000,0.414,0.000,0.002,0.001
12031012601,1.000,1.000,0.414,0.000,0.002,0.001
12031012602,1.000,1.000,0.414,0.000,0.002,0.001
12031013000,1.000,1.000,0.414,0.000,0.002,0.001
12031013100,1.000,1.000,0.414,0.000,0.002,0.001
12031013200,1.000,1.000,0.414,0.000,0.002,0.001
12031013300,0.000,0.000,0.000,0.000,0.000,0.000
12031013402,0.000,0.000,0.000,0.000,0.000,0.000
12031013403,1.000,1.000,0.414,0.000,0.002,0.001
12031013404,1.000,1.000,0.414,0.000,0.002,0.001
12031013503,0.000,0.000,0.000,0.000,0.000,0.000
12031013522,0.000,0.000,0.000,0.000,0.000,0.000
12031013727,0.000,0.000,0.000,0.000,0.000,0.000
12031013800,1.000,1.000,0.162,0.001,0.001,0.004
12031013901,1.000,1.000,0.162,0.001,0.001,0.001
12031013902,1.000,1.000,0.162,0.001,0.001,0.001
12031013904,1.000,1.000,0.162,0.001,0.001,0.001
12031013905,1.000,1.000,0.162,0.001,0.001,0.001
12031013906,1.000,1.000,0.162,0.001,0.001,0.001
12031014001,1.000,1.000,0.162,0.001,0.001,0.001
12031014002,1.000,1.000,0.162,0.001,0.001,0.001
12031014101,1.000,1.000,0.162,0.001,0.001,0.001
12031014102,1.000,1.000,0.162,0.001,0.001,0.001
12031014202,1.000,1.000,0.162,0.001,0.001,0.001
12031014203,1.000,1.000,0.162,0.001,0.001,0.001
12031014204,1.000,1.000,0.162,0.001,0.001,0.001
12031014329,1.000,1.000,0.162,0.001,0.001,0.001
12031014330,1.000,1.000,0.162,0.001,0.001,0.004
12031014331,1.000,1.000,0.162,0.001,0.001,0.001
12031014332,1.000,1.000,0.162,0.001,0.001,0.001
12031014335,1.000,1.000,0.162,0.001,0.001,0.001
12031014408,1.000,1.000,0.162,0.001,0.001,0.001
12031014410,1.000,1.000,0.162,0.001,0.001,0.001
12031014412,1.000,1.000,0.162,0.001,0.001,0.001
12031014601,1.000,1.000,0.414,0.000,0.002,0.005
12031014603,0.000,0.000,0.000,0.000,0.000,0.000
12031014701,1.000,1.000,0.414,0.000,0.002,0.001
12031014702,1.000,1.000,0.414,0.000,0.002,0.001
12031014800,1.000,1.000,0.414,0.000,0.002,0.001
12031015002,1.000,1.000,0.414,0.000,0.002,0.001
12031015100,1.000,1.000,0.414,0.000,0.002,0.001
12031015300,1.000,1.000,0.414,0.000,0.002,0.001
12031015501,1.000,1.000,0.414,0.000,0.002,0.001
12031015502,1.000,1.000,0.414,0.000,0.002,0.001
12031015600,1.000,1.000,0.414,0.000,0.002,0.001
12031015700,1.000,1.000,0.414,0.000,0.002,0.001
12031015801,1.000,1.000,0.414,0.000,0.002,0.001
12031015802,1.000,1.000,0.414,0.000,0.002,0.001
12031015923,0.000,0.000,0.000,0.000,0.000,0.000
12031015924,1.000,1.000,0.414,0.000,0.002,0.001
12031016100,1.000,1.000,0.414,0.000,0.002,0.001
12031016400,1.000,1.000,0.414,0.000,0.002,0.001
12031016500,1.000,1.000,0.414,0.000,0.002,0.001
12031016603,0.000,0.000,0.000,0.000,0.000,0.000
12031016604,0.000,0.000,0.000,0.000,0.000,0.000
12031016711,0.000,0.000,0.000,0.000,0.000,0.000
12031016724,0.000,0.000,0.000,0.000,0.000,0.000
12031016728,0.000,0.000,0.000,0.000,0.000,0.000
12031016801,0.000,0.000,0.000,0.000,0.000,0.000
12031016803,0.000,0.000,0.000,0.000,0.000,0.000
12031016804,0.000,0.000,0.000,0.000,0.000,0.000
12031016805,0.000,0.000,0.000,0.000,0.000,0.000
12031016806,0.000,0.000,0.000,0.000,0.000,0.000
12031016807,0.000,0.000,0.000,0.000,0.000,0.000
12031017100,1.000,1.000,0.414,0.000,0.002,0.001
12031017200,1.000,1.000,0.414,0.000,0.002,0.001
12031017400,1.000,1.000,0.414,0.000,0.002,0.001
12033000100,0.000,0.000,0.000,0.000,0.000,0.000
12033000300,0.000,0.000,0.000,0.000,0.000,0.000
12033000800,0.000,0.000,0.000,0.000,0.000,0.000
12033000900,0.000,0.000,0.000,0.000,0.000,0.000
12033001001,0.000,0.000,0.000,0.000,0.000,0.000
12033001002,0.000,0.000,0.000,0.000,0.000,0.000
12033001101,0.000,0.000,0.000,0.000,0.000,0.000
12033001103,0.000,0.000,0.000,0.000,0.000,0.000
12033001201,0.000,0.000,0.000,0.000,0.000,0.000
12033001300,0.000,0.000,0.000,0.000,0.000,0.000
12033002100,0.000,0.000,0.000,0.000,0.000,0.000
12033002200,0.000,0.000,0.000,0.000,0.000,0.000
12033002300,0.000,0.000,0.000,0.000,0.000,0.000
12033002400,0.000,0.000,0.000,0.000,0.000,0.000
12033002500,0.000,0.000,0.000,0.000,0.000,0.000
12033002601,0.000,0.000,0.000,0.000,0.000,0.000
12033002602,0.000,0.000,0.000,0.000,0.000,0.000
12033002603,0.000,0.000,0.000,0.000,0.000,0.000
12033002604,0.000,0.000,0.000,0.000,0.000,0.000
12033002605,0.000,0.000,0.000,0.000,0.000,0.000
12033002701,0.000,0.000,0.000,0.000,0.000,0.000
12033002703,0.000,0.000,0.000,0.000,0.000,0.000
12033002704,0.000,0.000,0.000,0.000,0.000,0.000
12033002804,0.000,0.000,0.000,0.000,0.000,0.000
12033003000,0.000,0.000,0.000,0.000,0.000,0.000
12033003305,0.000,0.000,0.000,0.000,0.000,0.000
12033003306,0.000,0.000,0.000,0.000,0.000,0.000
12033003307,0.000,0.000,0.000,0.000,0.000,0.000
12033003308,0.000,0.000,0.000,0.000,0.000,0.000
12033003503,0.000,0.000,0.000,0.000,0.000,0.000
12033003506,0.000,0.000,0.000,0.000,0.000,0.000
12033003603,0.000,0.000,0.000,0.000,0.000,0.000
12033003607,0.000,0.000,0.000,0.000,0.000,0.000
12033003608,0.000,0.000,0.000,0.000,0.000,0.000
12033003614,0.000,0.000,0.000,0.000,0.000,0.000
12035060103,0.000,0.000,0.000,0.000,0.000,0.000
12035060104,1.000,1.000,0.693,0.001,0.002,0.002
12035060105,1.000,1.000,0.693,0.001,0.002,0.002
12035060106,1.000,1.000,0.693,0.001,0.002,0.002
12035060107,1.000,1.000,0.693,0.001,0.002,0.002
12035060204,1.000,1.000,0.693,0.001,0.002,0.002
12035060206,1.000,1.000,0.693,0.001,0.002,0.002
12035060301,0.000,0.000,0.000,0.000,0.000,0.000
12035060302,0.000,0.000,0.000,0.000,0.000,0.000
12035060303,0.000,0.000,0.000,0.000,0.000,0.000
12035060304,0.000,0.000,0.000,0.000,0.000,0.000
12037970100,1.000,1.000,0.676,0.527,0.529,0.528
12037970200,1.000,1.000,0.993,0.855,0.885,0.886
12037970302,1.000,1.000,0.988,0.766,0.814,0.816
12037970304,1.000,1.000,0.988,0.766,0.814,0.816
12045960100,0.000,0.000,0.000,0.000,0.000,0.000
12045960200,0.000,0.000,0.000,0.000,0.000,0.000
12045960300,0.000,0.000,0.000,0.000,0.000,0.000
12053041203,0.000,0.000,0.000,0.000,0.000,0.000
12053041501,0.000,0.000,0.000,0.000,0.000,0.000
12053041502,0.000,0.000,0.000,0.000,0.000,0.000
12053041600,0.000,0.000,0.000,0.000,0.000,0.000
12057003700,0.967,0.033,0.000,0.000,0.000,0.001
12057003800,0.967,0.033,0.000,0.000,0.000,0.001
12057003900,0.967,0.033,0.000,0.000,0.000,0.001
12057004600,0.938,0.018,0.000,0.000,0.000,0.000
12057004700,0.938,0.018,0.000,0.000,0.000,0.000
12057005302,0.967,0.033,0.000,0.000,0.000,0.001
12057005401,0.967,0.033,0.000,0.000,0.000,0.001
12057005500,0.967,0.033,0.000,0.000,0.000,0.001
12057005800,0.938,0.018,0.000,0.000,0.000,0.000
12057005900,0.938,0.018,0.000,0.000,0.000,0.000
12057006101,0.938,0.018,0.000,0.000,0.000,0.000
12057006103,0.938,0.018,0.000,0.000,0.000,0.000
12057006300,0.938,0.018,0.000,0.000,0.000,0.000
12057006400,0.938,0.018,0.000,0.000,0.000,0.000
12057006501,0.938,0.017,0.000,0.000,0.000,0.000
12057006502,0.938,0.017,0.000,0.000,0.000,0.000
12057006600,0.938,0.018,0.000,0.000,0.000,0.000
12057006700,0.967,0.033,0.000,0.000,0.000,0.001
12057006802,0.967,0.033,0.000,0.000,0.000,0.001
12057006900,0.967,0.033,0.000,0.000,0.000,0.001
12057007001,0.966,0.033,0.000,0.000,0.000,0.000
12057007002,0.979,0.059,0.000,0.000,0.000,0.001
12057007102,0.979,0.059,0.000,0.000,0.000,0.001
12057007103,0.979,0.059,0.000,0.000,0.000,0.001
12057007200,0.000,0.000,0.000,0.000,0.000,0.000
12057007300,0.967,0.033,0.000,0.000,0.000,0.001
12057011507,0.906,0.000,0.000,0.000,0.000,0.000
12057011519,0.000,0.000,0.000,0.000,0.000,0.000
12057011520,0.906,0.000,0.000,0.000,0.000,0.000
12057011605,0.938,0.017,0.000,0.000,0.000,0.000
12057011606,0.906,0.000,0.000,0.000,0.000,0.000
12057011607,0.906,0.000,0.000,0.000,0.000,0.000
12057011608,0.906,0.000,0.000,0.000,0.000,0.000
12057011610,0.906,0.000,0.000,0.000,0.000,0.000
12057011612,0.906,0.000,0.000,0.000,0.000,0.000
12057011613,0.906,0.000,0.000,0.000,0.000,0.000
12057011614,0.906,0.000,0.000,0.000,0.000,0.000
12057011615,0.906,0.000,0.000,0.000,0.000,0.000
12057011706,0.906,0.000,0.000,0.000,0.000,0.000
12057011708,0.938,0.017,0.000,0.000,0.000,0.000
12057011709,0.000,0.000,0.000,0.000,0.000,0.000
12057011710,0.906,0.000,0.000,0.000,0.000,0.000
12057011712,0.906,0.000,0.000,0.000,0.000,0.000
12057012211,0.000,0.000,0.000,0.000,0.000,0.000
12057013501,0.967,0.033,0.000,0.000,0.000,0.001
12057013503,0.962,0.000,0.000,0.000,0.000,0.001
12057013504,0.967,0.033,0.000,0.000,0.000,0.001
12057013505,0.000,0.000,0.000,0.000,0.000,0.000
12057013602,0.967,0.033,0.000,0.000,0.000,0.001
12057013604,0.967,0.033,0.000,0.000,0.000,0.001
12057013702,0.000,0.000,0.000,0.000,0.000,0.000
12057013801,0.000,0.000,0.000,0.000,0.000,0.000
12057013802,0.000,0.000,0.000,0.000,0.000,0.000
12057013803,0.000,0.000,0.000,0.000,0.000,0.000
12057013804,0.000,0.000,0.000,0.000,0.000,0.000
12057014002,0.000,0.000,0.000,0.000,0.000,0.000
12057014003,0.000,0.000,0.000,0.000,0.000,0.000
12057014012,0.000,0.000,0.000,0.000,0.000,0.000
12057014013,0.000,0.000,0.000,0.000,0.000,0.000
12057014016,0.000,0.000,0.000,0.000,0.000,0.000
12057014104,0.000,0.000,0.000,0.000,0.000,0.000
12057014106,0.000,0.000,0.000,0.000,0.000,0.000
12057014108,0.000,0.000,0.000,0.000,0.000,0.000
12057014109,0.000,0.000,0.000,0.000,0.000,0.000
12057014117,0.000,0.000,0.000,0.000,0.000,0.000
