,Ratio of delays with adaptation over delays without adaptation,,,,,
Tract ID,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
6001440301,1.000,1.000,1.000,1.000,0.980,0.476
6001440304,1.000,1.000,1.000,1.000,0.980,0.476
6001440305,1.000,1.000,1.000,1.000,0.980,0.476
6001440306,1.000,1.000,1.000,1.000,0.980,0.476
6001440331,1.000,1.000,1.000,1.000,0.977,0.474
6001440332,1.000,1.000,1.000,1.000,0.980,0.476
6001440333,1.000,1.000,1.000,1.000,0.977,0.474
6001440334,1.000,1.000,1.000,1.000,0.980,0.476
6001441501,1.000,1.000,1.000,1.000,0.980,0.476
6001441503,1.000,1.000,1.000,0.995,0.865,0.390
6001444301,1.000,1.000,1.000,1.000,0.977,0.473
6001444302,1.000,1.000,1.000,0.994,0.925,0.445
6001444602,1.000,1.000,1.000,0.987,0.880,0.501
6001451101,1.000,1.000,1.000,0.916,0.210,0.000
6001981900,1.000,1.000,0.947,0.861,0.438,0.037
6001982000,1.000,1.000,0.958,0.889,0.470,0.041
6001983200,1.000,1.000,0.959,0.894,0.483,0.046
6013301000,0.000,0.000,0.000,0.000,0.000,0.000
6013302006,0.000,0.000,0.000,0.000,0.000,0.000
6013302008,0.000,0.000,0.000,0.000,0.000,0.000
6013303103,0.000,0.000,0.000,0.000,0.000,0.000
6013304002,0.000,0.000,0.000,0.000,0.000,0.000
6013304003,0.000,0.000,0.000,0.000,0.000,0.000
6013304004,0.000,0.000,0.000,0.000,0.000,0.000
6013304005,0.000,0.000,0.000,0.000,0.000,0.000
6013305000,1.000,1.000,1.000,0.865,0.106,0.000
6013306002,1.000,1.000,1.000,0.874,0.113,0.000
6013306004,1.000,1.000,1.000,0.874,0.113,0.000
6013309000,1.000,1.000,1.000,0.866,0.106,0.001
6013310000,1.000,1.000,1.000,0.865,0.106,0.000
6013314102,1.000,1.000,1.000,0.866,0.106,0.001
6013314103,1.000,1.000,1.000,0.866,0.106,0.001
6013314200,1.000,1.000,1.000,0.871,0.113,0.001
6013315000,1.000,1.000,1.000,0.885,0.166,0.003
6013316000,1.000,1.000,1.000,0.920,0.292,0.004
6013320001,1.000,1.000,1.000,0.922,0.292,0.006
6013320004,1.000,1.000,1.000,0.935,0.316,0.010
6013321200,1.000,1.000,1.000,0.931,0.316,0.008
6013327000,1.000,1.000,1.000,0.935,0.316,0.010
6013357000,1.000,1.000,1.000,0.916,0.284,0.004
6013358000,1.000,1.000,1.000,0.927,0.351,0.019
6013359103,1.000,1.000,1.000,0.898,0.204,0.011
6013359105,1.000,1.000,1.000,0.918,0.305,0.021
6013365002,1.000,1.000,1.000,0.798,0.112,0.008
6013377000,1.000,1.000,1.000,0.797,0.112,0.008
6013378000,1.000,1.000,1.000,0.798,0.112,0.008
6013379000,1.000,1.000,1.000,0.797,0.112,0.008
6013380000,1.000,1.000,1.000,0.783,0.073,0.000
6013382000,1.000,1.000,1.000,0.783,0.073,0.000
6013392200,1.000,1.000,1.000,0.803,0.112,0.007
6013392300,1.000,1.000,1.000,0.917,0.304,0.021
6015000101,1.000,1.000,1.000,1.000,1.000,1.000
6015000102,1.000,1.000,1.000,1.000,1.000,1.000
6015000105,1.000,1.000,1.000,1.000,1.000,1.000
6015000201,1.000,1.000,1.000,1.000,1.000,1.000
6015000202,1.000,1.000,1.000,1.000,1.000,1.000
6015000203,1.000,1.000,1.000,1.000,1.000,1.000
6023000100,1.000,1.000,1.000,1.002,1.001,1.001
6023000200,1.000,1.000,1.000,1.000,1.000,1.001
6023000400,1.000,1.000,1.000,0.949,0.926,0.906
6023000500,1.000,1.000,1.001,1.003,1.002,1.001
6023000800,1.000,1.000,1.000,1.002,1.001,1.001
6023000900,1.000,1.000,1.001,1.003,1.003,1.001
6023001000,1.000,1.000,1.001,1.003,1.003,1.000
6023001101,1.000,1.000,1.001,1.003,1.003,1.000
6023001300,1.000,1.000,1.000,1.002,1.001,1.001
6023010200,1.000,1.000,1.000,1.000,1.000,1.000
6023010400,1.000,1.000,1.000,1.000,1.000,1.000
6023010501,1.000,1.000,1.000,1.009,1.006,1.000
6023010600,1.000,1.000,1.000,0.967,0.951,0.901
6023010700,1.000,1.000,1.000,0.964,0.947,0.869
6023010800,1.000,1.000,1.000,0.962,0.944,0.862
6023011200,1.000,1.000,1.000,0.925,0.890,0.730
6023011500,0.000,0.000,0.000,0.000,0.000,0.000
6037262704,1.000,1.000,1.000,0.848,0.097,0.011
6037262706,1.000,1.000,1.000,0.842,0.090,0.008
6037262802,1.000,1.000,1.000,0.842,0.090,0.008
6037273300,1.000,1.000,1.000,0.833,0.086,0.007
