Census Block,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
10970066004,NA,100%,100%,100%,100%,100%
10970068021,NA,NA,NA,NA,NA,NA
10970068022,NA,NA,NA,NA,NA,100%
10970070001,NA,NA,NA,NA,NA,NA
10970070002,NA,NA,NA,NA,NA,NA
10970070003,NA,NA,NA,NA,NA,NA
10970071021,NA,NA,100%,100%,100%,100%
10970071031,NA,NA,NA,NA,11%,19%
10970071032,NA,78%,94%,96%,97%,96%
10970072011,NA,NA,NA,NA,NA,NA
10970072021,NA,NA,NA,NA,NA,9%
10970072022,NA,NA,NA,NA,NA,2%
10970072023,NA,16%,73%,76%,76%,76%
10970073001,NA,100%,100%,99%,98%,98%
10970073002,NA,100%,100%,100%,99%,100%
10970073003,NA,49%,92%,96%,96%,97%
10970073004,NA,100%,100%,100%,100%,100%
10970074001,NA,NA,NA,NA,6%,20%
10970074003,NA,NA,NA,NA,NA,NA
10970074004,NA,NA,NA,NA,NA,NA
60014015003,NA,NA,NA,NA,NA,100%
60014016001,NA,NA,NA,NA,100%,100%
60014016002,NA,NA,NA,100%,100%,100%
60014017001,NA,NA,45%,28%,44%,52%
60014017002,NA,NA,NA,3%,30%,35%
60014017003,NA,NA,NA,NA,NA,NA
60014018001,NA,NA,NA,NA,100%,100%
60014022001,NA,NA,NA,NA,100%,100%
60014022003,NA,NA,NA,100%,100%,100%
60014024001,NA,NA,NA,NA,100%,100%
60014033001,NA,NA,NA,NA,NA,91%
60014034001,NA,NA,NA,NA,29%,33%
60014053012,NA,NA,NA,NA,100%,100%
60014053021,NA,NA,NA,NA,100%,100%
60014060001,NA,NA,NA,10%,51%,62%
60014060002,NA,NA,NA,NA,NA,NA
60014060003,NA,NA,NA,NA,NA,NA
60014061002,NA,NA,NA,NA,100%,100%
60014061003,NA,NA,NA,NA,NA,50%
60014073001,NA,NA,NA,NA,100%,100%
60014073002,NA,NA,NA,50%,94%,97%
60014088001,NA,NA,NA,NA,NA,100%
60014088002,NA,NA,NA,NA,100%,100%
60014088003,NA,NA,NA,NA,100%,100%
60014088004,NA,NA,NA,NA,100%,100%
60014089001,NA,NA,NA,100%,100%,100%
60014089002,NA,NA,NA,NA,100%,100%
60014090001,NA,NA,NA,67%,78%,81%
60014090002,NA,NA,59%,74%,86%,86%
60014090003,NA,NA,NA,74%,96%,97%
60014090004,NA,1%,19%,33%,63%,73%
60014095001,NA,NA,100%,100%,100%,94%
60014105001,NA,NA,NA,NA,100%,100%
60014203003,NA,NA,NA,NA,NA,NA
60014204001,NA,NA,NA,84%,40%,30%
60014220001,NA,12%,18%,30%,54%,56%
60014220002,NA,NA,NA,NA,NA,25%
60014251011,NA,NA,NA,NA,NA,NA
60014251012,NA,NA,78%,74%,69%,71%
60014251021,NA,NA,NA,NA,100%,88%
60014251022,NA,NA,NA,100%,100%,100%
60014251023,NA,NA,67%,64%,61%,57%
60014251031,NA,NA,NA,NA,100%,100%
60014251042,NA,NA,NA,100%,100%,100%
60014271001,NA,NA,NA,NA,26%,49%
60014271002,NA,NA,NA,NA,NA,100%
60014271003,NA,NA,NA,NA,25%,41%
60014272004,NA,NA,NA,NA,NA,17%
60014273001,NA,NA,NA,NA,NA,100%
60014273002,NA,NA,NA,100%,99%,97%
60014273003,NA,NA,NA,NA,NA,100%
60014273005,NA,NA,NA,100%,100%,100%
60014276001,NA,NA,NA,NA,100%,100%
60014276002,NA,NA,NA,NA,100%,100%
60014276003,NA,NA,NA,NA,33%,43%
60014277002,NA,NA,NA,74%,55%,55%
60014277003,NA,NA,67%,67%,56%,49%
60014277004,NA,NA,NA,NA,NA,100%
60014278002,NA,NA,NA,100%,100%,100%
60014281001,NA,NA,NA,38%,77%,83%
60014282001,NA,NA,NA,100%,100%,100%
