Census Block,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,31%,46%
1.2109E+11,NA,NA,10%,19%,48%,57%
1.2109E+11,NA,NA,NA,NA,100%,100%
1.2109E+11,NA,NA,NA,NA,100%,100%
1.2109E+11,NA,NA,NA,21%,61%,65%
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,97%,93%,91%,92%
1.2109E+11,NA,NA,NA,97%,97%,97%
1.2109E+11,NA,65%,70%,75%,71%,77%
1.2109E+11,100%,100%,100%,100%,100%,100%
1.2109E+11,NA,60%,87%,89%,92%,91%
1.2109E+11,41%,83%,89%,85%,65%,69%
1.2109E+11,NA,NA,NA,NA,100%,100%
1.2109E+11,NA,NA,42%,69%,76%,79%
1.2109E+11,NA,NA,NA,NA,NA,78%
1.2109E+11,NA,NA,NA,100%,100%,96%
1.2109E+11,NA,NA,NA,100%,100%,100%
1.2109E+11,NA,NA,NA,NA,2%,15%
1.2109E+11,NA,NA,NA,93%,94%,94%
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,100%,100%,99%,99%
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,9%,16%
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,NA,NA,NA,NA
1.2109E+11,NA,NA,100%,100%,100%,100%
1.2109E+11,NA,NA,100%,100%,100%,100%
1.2109E+11,NA,NA,NA,27%,64%,64%
1.21114E+11,NA,NA,100%,100%,100%,100%
1.21114E+11,NA,NA,NA,NA,NA,NA
1.21114E+11,NA,NA,NA,100%,100%,100%
1.21114E+11,NA,NA,43%,78%,90%,91%
1.21114E+11,NA,NA,69%,96%,96%,97%
1.21114E+11,NA,NA,100%,100%,100%,100%
1.21114E+11,NA,NA,NA,NA,NA,NA
1.21114E+11,NA,NA,NA,NA,NA,NA
1.21114E+11,NA,NA,NA,NA,NA,NA
1.21114E+11,NA,1%,5%,5%,5%,5%
1.21114E+11,NA,NA,NA,NA,NA,NA
1.21114E+11,NA,54%,81%,78%,78%,78%
1.21114E+11,NA,NA,NA,NA,NA,NA
1.21114E+11,NA,NA,NA,NA,NA,NA
1.21114E+11,NA,NA,100%,100%,100%,100%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.21114E+11,NA,NA,NA,NA,NA,NA
1.21114E+11,NA,NA,NA,NA,NA,100%
1.21114E+11,NA,NA,NA,NA,NA,100%
1.21114E+11,NA,NA,NA,NA,NA,NA
1.21114E+11,NA,NA,NA,NA,3%,6%
1.21114E+11,NA,NA,NA,1%,10%,11%
1.21114E+11,NA,NA,NA,NA,NA,NA
1.21114E+11,NA,NA,NA,NA,NA,NA
1.21114E+11,NA,NA,28%,40%,40%,40%
1.21114E+11,NA,42%,87%,88%,89%,90%
1.21114E+11,NA,NA,NA,NA,NA,100%
1.21114E+11,NA,NA,34%,56%,59%,63%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.21114E+11,NA,58%,85%,89%,94%,94%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.21114E+11,NA,NA,70%,80%,85%,85%
1.21114E+11,NA,NA,NA,NA,100%,100%
1.21114E+11,NA,NA,NA,NA,100%,100%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.21114E+11,NA,100%,100%,100%,100%,100%
1.2113E+11,NA,NA,NA,NA,NA,100%
1.2113E+11,100%,100%,100%,100%,100%,100%
1.2113E+11,NA,100%,100%,100%,100%,100%
1.2113E+11,100%,100%,100%,100%,100%,100%
1.2113E+11,100%,100%,100%,100%,100%,100%
1.2113E+11,NA,100%,54%,NA,4%,29%
1.2113E+11,NA,19%,8%,10%,21%,31%
1.2113E+11,100%,100%,100%,100%,100%,100%
1.2113E+11,100%,100%,100%,100%,100%,100%
1.2113E+11,NA,NA,NA,NA,100%,100%
1.2113E+11,NA,10%,15%,20%,43%,55%
1.2113E+11,100%,100%,100%,100%,100%,100%
1.2113E+11,NA,NA,NA,NA,NA,NA
1.2113E+11,NA,100%,100%,100%,100%,100%
1.2113E+11,100%,100%,95%,94%,89%,93%
1.2113E+11,NA,100%,90%,12%,45%,51%
1.2113E+11,NA,NA,NA,9%,17%,23%
1.2113E+11,99%,99%,99%,99%,97%,97%
1.2113E+11,100%,100%,100%,100%,99%,100%
1.2113E+11,100%,100%,100%,100%,100%,100%
1.2113E+11,100%,100%,100%,100%,100%,100%
1.2113E+11,100%,100%,100%,100%,100%,100%
1.2113E+11,NA,NA,NA,100%,100%,100%
1.2113E+11,NA,92%,96%,96%,94%,94%
1.2113E+11,100%,100%,100%,99%,98%,99%
1.2113E+11,100%,100%,100%,100%,100%,100%
1.2113E+11,NA,NA,NA,NA,NA,16%
1.2113E+11,NA,NA,NA,NA,NA,100%
1.2113E+11,NA,NA,NA,NA,NA,5%
1.2113E+11,NA,NA,NA,NA,NA,20%
1.2113E+11,NA,NA,NA,NA,NA,9%
1.2113E+11,NA,NA,NA,NA,NA,22%
1.2113E+11,NA,NA,NA,NA,NA,NA
1.2113E+11,NA,NA,NA,NA,30%,47%
1.2113E+11,NA,NA,NA,NA,NA,0%
1.2113E+11,NA,NA,NA,NA,26%,41%
1.2113E+11,NA,NA,NA,NA,NA,34%
1.2113E+11,NA,NA,NA,NA,28%,27%
1.2113E+11,NA,NA,NA,NA,NA,20%
1.2113E+11,NA,NA,NA,NA,NA,8%
1.2113E+11,NA,NA,NA,NA,NA,3%
1.2113E+11,NA,NA,NA,NA,NA,5%
1.2113E+11,NA,NA,NA,NA,NA,NA
1.2113E+11,NA,NA,NA,NA,NA,5%
1.2113E+11,NA,NA,NA,NA,22%,38%
1.2113E+11,NA,NA,NA,NA,NA,8%
1.2113E+11,NA,NA,NA,NA,NA,NA
1.2113E+11,NA,NA,NA,NA,NA,1%
1.2115E+11,NA,NA,10%,27%,32%,37%
1.2115E+11,NA,NA,13%,49%,55%,61%
1.2115E+11,NA,NA,NA,100%,100%,100%
1.2115E+11,NA,NA,NA,NA,100%,100%
1.2115E+11,NA,NA,NA,NA,100%,100%
1.2115E+11,NA,NA,23%,50%,61%,66%
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,NA,100%,100%,100%
1.2115E+11,NA,NA,22%,54%,65%,67%
1.2115E+11,NA,NA,NA,NA,100%,100%
1.2115E+11,NA,NA,NA,NA,100%,100%
1.2115E+11,NA,NA,NA,NA,NA,100%
1.2115E+11,NA,NA,NA,NA,NA,8%
1.2115E+11,NA,NA,NA,NA,NA,100%
1.2115E+11,NA,NA,NA,NA,5%,19%
1.2115E+11,NA,NA,NA,NA,NA,13%
1.2115E+11,NA,NA,NA,NA,100%,100%
1.2115E+11,NA,34%,62%,60%,59%,59%
1.2115E+11,NA,NA,NA,7%,7%,7%
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,28%,48%,48%,48%
1.2115E+11,NA,NA,5%,11%,11%,11%
1.2115E+11,NA,7%,15%,22%,22%,22%
1.2115E+11,NA,NA,12%,22%,22%,22%
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,8%,19%,25%,25%,25%
1.2115E+11,NA,NA,14%,22%,24%,22%
1.2115E+11,NA,NA,94%,84%,79%,82%
1.2115E+11,NA,NA,NA,100%,100%,100%
1.2115E+11,NA,NA,NA,NA,NA,3%
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,NA,NA,100%,100%
1.2115E+11,NA,NA,NA,NA,100%,100%
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,NA,NA,100%,100%
1.2115E+11,NA,NA,NA,3%,25%,37%
1.2115E+11,NA,NA,1%,3%,23%,29%
1.2115E+11,NA,NA,NA,9%,25%,26%
1.2115E+11,NA,NA,12%,41%,58%,66%
1.2115E+11,NA,NA,100%,100%,100%,100%
1.2115E+11,NA,NA,100%,100%,100%,100%
1.2115E+11,NA,NA,NA,100%,100%,100%
1.2115E+11,NA,NA,100%,100%,100%,100%
1.2115E+11,NA,49%,45%,46%,46%,46%
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,100%,100%,100%,100%
1.2115E+11,NA,51%,66%,85%,85%,85%
1.2115E+11,NA,NA,50%,84%,84%,84%
1.2115E+11,NA,NA,37%,58%,56%,56%
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,13%,14%,21%,24%
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,6%,29%,58%,67%
1.2115E+11,NA,NA,NA,17%,47%,58%
1.2115E+11,NA,NA,NA,13%,29%,36%
1.2115E+11,NA,NA,NA,NA,NA,100%
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,NA,NA,NA,66%
1.2115E+11,NA,NA,75%,59%,87%,85%
1.2115E+11,NA,NA,NA,5%,23%,23%
1.2115E+11,NA,53%,63%,58%,53%,51%
1.2115E+11,NA,NA,NA,NA,NA,100%
1.2115E+11,NA,NA,100%,100%,100%,100%
1.2115E+11,NA,NA,44%,57%,62%,65%
1.2115E+11,NA,NA,NA,16%,51%,60%
1.2115E+11,NA,NA,NA,NA,4%,17%
1.2115E+11,NA,NA,17%,41%,59%,65%
1.2115E+11,NA,85%,74%,52%,58%,61%
1.2115E+11,NA,100%,44%,55%,63%,66%
1.2115E+11,NA,NA,NA,NA,NA,100%
1.2115E+11,NA,NA,2%,11%,14%,12%
1.2115E+11,NA,100%,100%,100%,100%,100%
1.2115E+11,NA,NA,NA,18%,47%,49%
1.2115E+11,NA,NA,NA,10%,35%,42%
1.2115E+11,NA,NA,100%,82%,83%,85%
1.2115E+11,NA,NA,NA,NA,0%,5%
1.2115E+11,NA,NA,NA,NA,20%,41%
1.2115E+11,NA,100%,39%,30%,25%,25%
1.2115E+11,NA,NA,94%,95%,97%,97%
1.2115E+11,NA,NA,NA,8%,34%,33%
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,NA,1%,17%,22%
1.2115E+11,NA,NA,NA,100%,100%,100%
1.2115E+11,NA,NA,NA,100%,100%,100%
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,NA,NA,NA,NA
1.2115E+11,NA,NA,NA,NA,2%,12%
1.2115E+11,NA,NA,NA,53%,75%,84%
1.2115E+11,NA,NA,58%,44%,17%,14%
1.2115E+11,NA,NA,NA,100%,100%,79%
1.2115E+11,NA,51%,64%,45%,44%,41%
1.2115E+11,NA,NA,NA,NA,NA,23%
1.2115E+11,NA,NA,NA,NA,NA,7%
1.2115E+11,NA,NA,NA,13%,33%,36%
1.2115E+11,NA,NA,NA,NA,NA,75%
1.2115E+11,NA,NA,NA,NA,NA,26%
1.2115E+11,NA,NA,NA,NA,NA,31%
1.2115E+11,NA,6%,4%,13%,20%,22%
1.2115E+11,NA,NA,NA,100%,72%,74%
1.2115E+11,NA,NA,NA,100%,100%,100%
1.2115E+11,NA,NA,NA,NA,72%,75%
1.2115E+11,NA,NA,14%,40%,69%,72%
1.2115E+11,NA,NA,NA,10%,30%,38%
1.2115E+11,NA,NA,6%,15%,21%,24%
1.2115E+11,NA,NA,NA,NA,100%,91%
1.2115E+11,NA,NA,16%,33%,30%,32%
1.2115E+11,NA,NA,100%,100%,100%,100%
1.2115E+11,NA,NA,NA,NA,NA,100%
1.2115E+11,NA,NA,NA,NA,14%,23%
1.2115E+11,100%,100%,100%,100%,100%,100%
1.2115E+11,NA,NA,69%,48%,40%,37%
1.2115E+11,NA,70%,64%,52%,44%,42%
1.2115E+11,NA,NA,83%,53%,20%,19%
1.2115E+11,NA,NA,65%,59%,54%,56%
1.2115E+11,NA,NA,100%,97%,89%,88%
1.2115E+11,NA,NA,NA,NA,NA,0%
1.2115E+11,17%,NA,71%,91%,72%,64%
1.2115E+11,NA,NA,63%,97%,99%,99%
1.2115E+11,100%,100%,100%,100%,100%,100%
1.2115E+11,59%,84%,95%,99%,99%,99%
1.2115E+11,NA,NA,NA,NA,NA,39%
1.2115E+11,NA,NA,NA,NA,NA,100%
1.2115E+11,NA,80%,77%,100%,99%,99%
1.2115E+11,NA,NA,16%,23%,34%,34%
1.2115E+11,NA,NA,NA,NA,NA,100%
1.2115E+11,NA,NA,NA,NA,6%,13%
1.2115E+11,NA,NA,100%,100%,100%,100%
1.2115E+11,NA,100%,59%,42%,46%,48%
1.2115E+11,NA,15%,44%,28%,28%,28%
1.2115E+11,NA,NA,29%,35%,49%,51%
1.2124E+11,100%,100%,100%,100%,100%,100%
1.2124E+11,100%,100%,100%,100%,100%,100%
1.2124E+11,100%,100%,100%,100%,100%,100%
1.2124E+11,100%,100%,100%,100%,100%,100%
1.2124E+11,100%,100%,100%,100%,100%,100%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,7%,20%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,100%
1.21271E+11,NA,NA,NA,NA,56%,66%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,2%,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,100%,91%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,54%,74%
1.21271E+11,NA,NA,NA,NA,57%,76%
1.21271E+11,NA,NA,NA,NA,73%,84%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,76%,88%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,NA,100%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,64%,80%
1.21271E+11,NA,NA,NA,NA,2%,18%
1.21271E+11,NA,NA,NA,NA,60%,78%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,NA,100%
1.21271E+11,NA,NA,NA,NA,NA,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,78%,90%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,80%,93%,95%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,NA,100%
1.21271E+11,NA,NA,NA,NA,NA,100%
1.21271E+11,NA,NA,NA,NA,NA,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,NA,100%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,90%,95%
1.21271E+11,NA,NA,NA,NA,95%,95%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,84%,85%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,86%,84%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,70%,78%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,84%,84%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,84%,86%
1.21271E+11,NA,NA,NA,NA,90%,92%
1.21271E+11,NA,NA,NA,NA,95%,95%
1.21271E+11,NA,NA,NA,100%,100%,100%
1.21271E+11,NA,NA,NA,NA,NA,4%
1.21271E+11,NA,NA,NA,NA,NA,63%
1.21271E+11,NA,NA,NA,NA,99%,99%
1.21271E+11,NA,NA,NA,100%,100%,100%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,100%,100%,100%
1.21271E+11,NA,NA,NA,100%,100%,100%
1.21271E+11,NA,NA,NA,NA,99%,99%
1.21271E+11,NA,NA,NA,100%,100%,100%
1.21271E+11,NA,NA,NA,14%,88%,90%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,79%,83%
1.21271E+11,NA,NA,NA,NA,NA,100%
1.21271E+11,NA,NA,NA,NA,NA,100%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,20%,46%
1.21271E+11,NA,NA,NA,NA,34%,66%
1.21271E+11,NA,NA,NA,NA,94%,96%
1.21271E+11,NA,NA,NA,100%,100%,100%
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,NA,NA
1.21271E+11,NA,NA,NA,NA,100%,100%
1.21271E+11,NA,NA,NA,NA,100%,100%
1.2129E+11,NA,NA,100%,100%,100%,100%
1.2129E+11,100%,100%,100%,100%,100%,100%
1.2129E+11,100%,100%,100%,100%,100%,100%
1.2129E+11,NA,47%,59%,62%,65%,67%
1.2129E+11,NA,NA,NA,NA,NA,NA
1.2129E+11,100%,100%,100%,100%,100%,100%
1.2129E+11,NA,NA,NA,NA,NA,NA
1.2129E+11,100%,100%,100%,100%,100%,100%
1.2129E+11,100%,100%,100%,100%,100%,100%
1.2129E+11,100%,100%,100%,100%,100%,100%
1.2129E+11,NA,100%,100%,100%,100%,100%
1.2129E+11,NA,NA,NA,NA,NA,100%
1.2129E+11,NA,NA,NA,NA,NA,NA
1.2129E+11,NA,NA,NA,NA,NA,NA
1.2132E+11,100%,100%,100%,100%,100%,100%
1.2132E+11,100%,99%,90%,88%,90%,91%
1.2132E+11,NA,NA,100%,100%,100%,100%
1.2132E+11,100%,100%,100%,100%,100%,100%
1.2132E+11,100%,100%,100%,100%,100%,100%
1.2132E+11,100%,100%,100%,100%,100%,100%
1.2132E+11,100%,100%,100%,100%,100%,100%
1.2132E+11,27%,83%,89%,89%,92%,93%
1.2132E+11,NA,NA,NA,NA,21%,22%
1.2132E+11,NA,NA,NA,NA,NA,NA
1.2132E+11,NA,NA,NA,NA,NA,NA
1.2132E+11,NA,NA,100%,100%,86%,69%
1.2132E+11,NA,NA,NA,NA,NA,NA
1.2132E+11,NA,NA,NA,NA,NA,NA
1.2132E+11,NA,NA,NA,NA,NA,NA
1.2132E+11,NA,NA,NA,NA,NA,NA
1.2132E+11,NA,NA,NA,NA,11%,9%
1.2132E+11,NA,NA,NA,NA,NA,NA
1.2132E+11,NA,NA,NA,NA,NA,NA
1.2132E+11,NA,NA,NA,NA,NA,NA
1.2132E+11,NA,NA,NA,NA,NA,NA
1.2132E+11,NA,NA,NA,NA,NA,NA
1.30299E+11,100%,100%,100%,100%,100%,100%
1.30299E+11,NA,NA,NA,100%,100%,100%
1.30299E+11,NA,80%,94%,97%,98%,98%
1.30299E+11,100%,100%,100%,100%,100%,100%
1.30299E+11,71%,91%,94%,97%,98%,98%
1.30299E+11,100%,100%,100%,100%,100%,100%
1.30299E+11,100%,100%,100%,100%,100%,100%
1.3039E+11,99%,100%,100%,100%,100%,100%
1.3039E+11,100%,100%,100%,100%,100%,100%
1.3039E+11,100%,100%,100%,100%,100%,100%
1.3039E+11,100%,100%,100%,100%,100%,100%
1.3039E+11,100%,100%,100%,100%,100%,100%
1.3039E+11,NA,100%,100%,100%,100%,100%
1.3039E+11,NA,44%,62%,74%,81%,84%
1.3039E+11,100%,100%,100%,100%,100%,100%
1.3039E+11,100%,100%,100%,100%,100%,100%
1.3039E+11,100%,100%,100%,100%,100%,100%
1.3039E+11,100%,100%,100%,100%,100%,100%
1.3039E+11,100%,100%,100%,100%,100%,100%
1.3039E+11,100%,100%,100%,100%,100%,100%
1.3039E+11,NA,NA,NA,NA,NA,100%
1.3039E+11,53%,70%,70%,80%,84%,89%
1.3039E+11,NA,89%,90%,93%,95%,95%
1.3039E+11,NA,72%,72%,82%,87%,90%
1.3039E+11,NA,NA,NA,NA,NA,NA
1.3039E+11,100%,100%,100%,100%,100%,100%
1.3039E+11,NA,NA,NA,13%,55%,68%
1.3039E+11,NA,NA,NA,NA,74%,80%
1.3039E+11,100%,100%,100%,100%,100%,100%
1.3051E+11,NA,NA,NA,100%,100%,100%
1.3051E+11,NA,NA,NA,NA,NA,NA
1.3051E+11,NA,NA,NA,NA,100%,100%
1.3051E+11,NA,NA,NA,NA,100%,100%
1.3051E+11,NA,NA,94%,94%,94%,95%
1.3051E+11,NA,NA,NA,NA,100%,100%
1.3051E+11,NA,NA,NA,NA,NA,100%
1.3051E+11,NA,NA,NA,NA,59%,60%
1.3051E+11,NA,NA,100%,100%,100%,100%
1.3051E+11,NA,NA,NA,NA,100%,100%
1.3051E+11,NA,NA,NA,100%,100%,100%
1.3051E+11,NA,NA,NA,100%,100%,100%
1.3051E+11,NA,NA,NA,NA,100%,100%
1.3051E+11,NA,NA,NA,NA,NA,100%
1.3051E+11,NA,NA,NA,100%,100%,100%
1.3051E+11,NA,NA,51%,58%,60%,59%
1.3051E+11,NA,NA,NA,100%,100%,100%
1.3051E+11,NA,NA,NA,NA,89%,90%
1.3051E+11,NA,NA,NA,100%,100%,100%
1.3051E+11,NA,NA,100%,100%,100%,100%
1.3051E+11,NA,NA,NA,57%,81%,70%
1.3051E+11,NA,NA,NA,100%,100%,100%
1.3051E+11,NA,NA,100%,100%,100%,100%
1.3051E+11,NA,NA,100%,100%,100%,100%
1.3051E+11,NA,NA,NA,NA,35%,34%
1.3051E+11,NA,NA,NA,11%,19%,23%
1.3051E+11,NA,NA,NA,100%,100%,100%
1.3051E+11,NA,NA,NA,100%,100%,100%
1.3051E+11,NA,NA,NA,NA,NA,NA
1.3051E+11,NA,NA,NA,NA,100%,100%
1.3051E+11,NA,NA,NA,NA,NA,100%
1.3051E+11,NA,NA,NA,NA,NA,100%
1.3051E+11,NA,NA,100%,100%,100%,100%
1.3051E+11,NA,NA,100%,100%,100%,100%
1.3051E+11,NA,NA,100%,100%,100%,100%
1.3051E+11,NA,NA,NA,64%,88%,83%
1.3051E+11,NA,NA,NA,66%,87%,86%
1.3051E+11,NA,NA,NA,NA,NA,NA
1.3051E+11,NA,NA,NA,NA,39%,55%
1.3051E+11,NA,NA,NA,NA,NA,NA
1.3051E+11,NA,NA,NA,12%,36%,41%
1.3051E+11,NA,NA,NA,37%,63%,58%
1.3051E+11,NA,NA,NA,100%,100%,100%
1.3051E+11,NA,NA,NA,NA,NA,NA
1.3051E+11,NA,NA,NA,16%,33%,26%
1.3051E+11,NA,100%,100%,100%,35%,18%
1.3051E+11,NA,NA,NA,NA,NA,13%
1.3051E+11,NA,NA,100%,100%,42%,29%
1.3051E+11,100%,100%,100%,100%,100%,100%
1.3051E+11,NA,NA,NA,24%,35%,36%
1.3051E+11,NA,NA,NA,NA,100%,100%
1.3051E+11,NA,NA,NA,52%,68%,70%
1.3051E+11,NA,NA,NA,68%,81%,82%
1.3051E+11,NA,NA,NA,9%,17%,26%
1.3051E+11,NA,NA,NA,NA,17%,26%
