,Hours lost (hours / person / year),,,,,
Tract ID,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
25001011400,28,176,394,560,672,678
25001011500,24,153,342,486,582,588
25001011600,27,170,380,540,646,653
25001011700,48,299,670,952,1139,1151
25001011801,36,226,499,708,848,857
25001011802,23,145,326,463,555,560
25001012001,16,104,232,330,395,400
25001012002,30,188,422,600,718,725
25001012101,17,106,238,339,406,409
25001012102,26,166,371,527,632,637
25001012200,21,133,295,417,499,503
25001012502,14,90,202,287,344,346
25001012700,10,61,133,187,223,224
25001013002,11,71,153,214,255,255
25001013200,4,26,59,82,97,97
25001013300,8,52,116,165,198,200
25001013400,6,38,81,115,138,139
25001013700,7,44,98,138,164,166
25001013800,5,33,74,105,126,127
25001013900,6,40,90,126,151,152
25001014002,7,44,98,137,164,166
25001014300,9,55,121,171,204,206
25001014402,5,34,76,107,128,129
25001014500,6,37,82,114,135,137
25001014600,7,42,93,129,152,154
25001014700,7,45,102,145,173,175
25001014800,6,39,86,123,147,149
25001014900,6,37,84,119,142,144
25001015100,6,39,88,123,145,147
25001015200,10,63,142,198,234,237
25001015300,25,158,348,494,592,596
25005612200,1,10,25,30,30,30
25005613700,2,13,33,39,39,39
25005613902,3,26,64,75,77,77
25005614000,2,15,38,45,45,45
25005614101,2,19,46,54,55,55
25005614102,3,21,52,62,63,63
25005615100,4,29,70,83,84,84
25005616100,4,27,67,79,81,81
25005617101,5,36,88,104,106,106
25005632200,1,5,12,15,15,15
25005633200,4,29,70,83,84,84
25005640300,2,14,35,41,42,42
25005640400,3,21,51,60,61,61
25005640500,2,14,33,39,40,40
25005641000,4,29,70,83,84,84
25005642000,3,25,60,71,72,72
25005642100,5,37,91,107,109,109
25005644101,3,24,58,69,70,70
25005644102,4,27,67,79,81,81
25005644200,3,19,47,55,56,56
25005645101,2,18,44,52,53,53
25005645102,4,27,66,78,79,79
25005645103,3,22,54,64,65,65
25005646103,3,22,55,65,66,66
25005646104,5,37,92,108,110,110
25005650300,12,87,212,250,254,255
25005650400,12,91,223,263,268,268
25005650600,13,98,238,282,287,287
25005650700,19,143,350,414,421,421
25005651200,20,151,369,436,443,443
25005651300,23,175,427,506,514,514
25005651800,25,187,457,541,550,550
25005651900,27,200,490,580,589,589
25005652400,17,129,315,373,379,379
25005652500,17,127,310,367,372,373
25005652600,17,127,310,367,373,373
25005652700,14,105,256,303,308,308
25005652800,17,129,315,373,379,379
25005653203,10,74,181,214,217,217
25005653301,10,71,174,206,209,209
25005653304,16,117,285,337,343,343
25005654200,12,90,220,260,265,265
25005655100,11,83,204,241,245,245
25005655200,9,67,163,193,196,196
25005655300,14,106,258,306,311,311
25005655400,14,104,253,299,304,304
25007200100,2,12,28,33,33,33
25007200200,2,11,26,30,30,30
25007200300,2,12,28,32,33,33
25007200400,2,14,32,36,37,37
25009201100,29,108,245,359,486,556
25009202200,19,71,162,237,320,367
25009203100,10,39,88,129,175,200
25009203200,6,21,49,71,97,111
25009203302,6,21,48,70,95,108
25009204101,10,39,88,129,174,199
25009204102,23,84,191,280,378,433
25009204300,8,29,66,96,130,149
25009204400,7,28,63,92,124,142
25009204500,8,30,68,99,134,153
25009204600,7,27,61,90,122,139
25009204701,19,71,162,238,322,369
25009205700,21,79,179,263,356,407
25009205800,25,94,215,316,427,489
25009206600,25,94,214,314,425,487
25009206900,25,92,209,306,414,474
25009207000,40,149,339,498,673,771
25009207100,30,110,250,367,497,569
25009207200,38,139,318,466,630,721
25009208101,19,69,157,230,311,356
25009208102,27,101,231,338,458,524
25009208200,17,62,141,207,280,320
25009208300,13,48,108,159,215,246
25009210300,12,43,98,144,194,222
25009210400,14,52,119,174,235,269
25009211100,7,24,56,82,110,126
25009211200,4,14,32,47,64,73
25009217202,8,28,64,93,126,144
25009217300,6,21,49,72,97,111
25009217400,4,16,36,52,71,81
25009217500,4,15,35,51,69,78
25009217600,4,16,36,53,71,81
25009218100,8,29,67,98,133,152
25009220101,5,19,42,62,84,96
25009220102,7,25,57,84,114,130
25009221100,5,19,43,64,86,99
25009221300,5,19,42,62,84,96
25009221400,6,24,54,79,107,123
25009221500,7,26,60,88,119,136
25009221600,7,27,62,91,123,141
25009221700,7,27,61,89,121,138
25009221800,13,48,109,160,217,248
25009221901,8,31,70,102,138,158
25009221902,8,30,68,100,136,155
25009222100,10,36,82,120,162,185
25009223100,12,46,105,154,208,238
25009223200,4,14,32,47,64,73
25009223300,5,18,41,60,81,93
25009252601,2,7,15,23,31,35
25009252602,3,11,25,36,49,56
25009253201,4,16,36,52,71,81
25009260301,2,7,16,24,32,37
25009260302,4,14,31,45,61,70
25009260402,2,8,19,28,38,44
25009261101,3,13,29,42,57,65
25009261102,3,11,25,36,49,56
25009262100,2,6,13,20,26,30
25009263100,15,57,129,190,257,294
25009264100,3,10,24,35,47,53
25009266100,6,24,54,79,107,123
25009266300,16,59,135,198,268,307
25009267101,17,62,141,207,280,320
25009267102,11,43,97,142,192,220
25009268100,22,83,188,276,373,427
25009268200,10,36,81,119,161,184
25009268300,15,54,124,181,245,281
25009268400,14,51,115,169,229,262
25009269100,10,38,87,127,172,196
25009270100,9,32,72,106,143,164
25017339700,107,395,913,1358,1850,2121
25017339801,86,319,737,1097,1493,1712
25017339802,84,311,718,1069,1456,1669
25017341300,80,297,686,1021,1391,1595
25017341400,66,244,563,838,1141,1308
25017341800,58,213,493,733,999,1145
25017341901,189,700,1616,2405,3276,3756
25017341902,19,71,163,243,331,379
25017342400,58,215,495,737,1004,1151
25017350103,230,851,1963,2922,3980,4563
25017350104,53,196,452,672,916,1050
25017352101,157,581,1342,1997,2720,3119
25017353900,67,248,572,851,1159,1328
25017354100,145,535,1234,1836,2501,2867
25017354200,120,443,1023,1522,2073,2376
25017354300,122,453,1046,1556,2120,2430
25017354600,71,261,603,898,1223,1402
25017354900,53,197,455,677,922,1057
25017355000,126,465,1073,1597,2175,2494
25017356100,132,487,1123,1672,2277,2610
25017356701,73,271,626,931,1268,1454
25017356702,60,221,511,760,1036,1188
25017357100,95,351,811,1206,1643,1884
25017357200,121,446,1029,1532,2086,2392
25017370102,40,150,346,514,700,803
25017370300,72,266,614,913,1244,1426
25017370400,64,235,544,809,1102,1263
25017373100,68,253,583,868,1182,1356
25017373200,66,244,564,839,1143,1311
25019950100,13,83,186,264,316,319
25019950200,4,23,52,73,88,89
25019950307,38,236,528,750,898,907
25019950400,7,43,96,136,163,165
25019950500,17,108,241,343,410,414
25021416400,35,129,298,442,601,689
25021417200,25,94,216,321,436,500
25021417300,73,270,621,922,1253,1437
25021417400,83,307,707,1049,1426,1635
25021417501,41,152,350,520,707,810
25021417601,43,158,363,539,732,840
25021417602,41,151,347,515,700,803
25021417702,75,277,637,946,1287,1475
25021417801,43,160,369,547,744,853
25021417802,64,237,546,810,1101,1262
25021417901,30,110,254,378,514,589
25021419400,62,231,532,789,1074,1231
25021422600,29,107,247,367,499,572
25021422700,57,211,487,722,982,1126
25021422800,49,183,421,625,849,974
25021423100,13,49,114,169,230,263
25023500101,19,70,156,225,300,344
25023500103,41,148,328,473,632,724
25023500104,19,68,151,218,291,334
25023501101,25,90,199,287,383,439
25023501102,9,33,73,106,141,162
25023501201,20,71,158,227,303,348
25023503102,1,3,7,9,13,15
25023504102,15,53,116,167,224,257
25023505101,15,52,115,166,222,254
25023505102,14,49,107,154,206,236
25023505200,12,43,95,137,183,210
25023506101,14,50,110,159,212,243
25023506102,15,54,120,172,231,265
25023506202,39,140,308,443,593,680
25023506203,19,70,153,221,295,338
25023506204,18,64,141,203,271,311
25023507103,19,70,156,225,299,342
25023507104,19,69,153,220,293,335
25023508101,12,44,95,138,184,211
25023509102,8,29,65,93,124,141
25023525204,1,3,6,9,12,14
25023526100,1,3,7,10,14,16
25023530200,8,30,68,97,128,146
25023530300,7,27,60,86,114,129
25023530500,5,18,40,58,76,86
25023530700,8,31,68,98,130,148
25023530802,1,2,5,7,8,8
25023530901,2,6,13,18,25,28
25023530902,1,2,5,7,9,11
25023541100,5,17,38,54,73,83
25023545100,3,12,26,37,49,56
25023545200,3,11,25,36,48,55
25023545300,4,15,34,48,65,74
25023545400,4,14,32,46,62,71
25023560100,4,13,30,43,57,65
25023561100,5,18,39,56,75,86
25025010203,85,314,724,1074,1460,1674
25025010300,80,296,681,1010,1374,1574
25025010404,88,326,751,1114,1515,1736
25025010405,76,282,650,964,1311,1502
25025010408,317,1173,2701,4007,5450,6246
25025010500,133,493,1135,1684,2290,2625
25025010600,160,591,1360,2017,2743,3144
25025020301,352,1302,2997,4447,6047,6931
25025020303,187,692,1594,2365,3216,3686
25025030300,147,545,1254,1861,2531,2901
25025030500,333,1234,2842,4216,5733,6571
25025040100,333,1232,2837,4209,5723,6560
25025040200,401,1486,3421,5076,6903,7912
25025040401,277,1026,2362,3505,4766,5463
25025040600,268,991,2281,3384,4602,5275
25025040801,188,698,1606,2383,3241,3715
25025050101,150,555,1277,1894,2576,2953
25025050300,332,1228,2828,4196,5706,6540
25025050400,333,1232,2836,4208,5722,6558
25025050901,183,679,1563,2319,3154,3615
25025051000,164,609,1401,2079,2828,3241
25025051101,105,389,896,1330,1809,2073
25025051200,288,1068,2458,3646,4959,5684
25025060600,225,832,1915,2841,3863,4428
25025061101,227,841,1935,2871,3904,4475
25025061200,162,598,1377,2043,2778,3184
25025070101,110,407,937,1390,1890,2166
25025070200,120,443,1020,1513,2058,2358
25025070300,130,482,1109,1645,2237,2564
25025070402,247,915,2107,3127,4252,4873
25025070500,91,336,772,1146,1559,1786
25025070600,195,721,1660,2462,3349,3838
25025070700,183,678,1562,2317,3151,3612
25025070800,132,487,1122,1665,2264,2595
25025070900,168,623,1435,2128,2895,3318
25025071101,117,435,1001,1485,2020,2315
25025071201,145,537,1237,1835,2495,2860
25025080601,109,404,929,1379,1875,2149
25025090700,136,502,1157,1716,2334,2675
25025090901,143,528,1215,1802,2451,2809
25025091001,148,548,1262,1873,2547,2919
25025091100,93,345,795,1179,1604,1838
25025092101,48,177,407,605,822,942
25025100603,169,626,1440,2137,2906,3331
25025100700,72,268,616,915,1244,1425
25025100800,48,178,409,607,826,947
25025160101,92,340,783,1161,1579,1810
25025160300,343,1271,2925,4340,5903,6765
25025160400,263,973,2241,3324,4521,5182
25025160502,150,555,1279,1897,2580,2957
25025160601,166,614,1414,2098,2853,3270
25025160602,145,539,1240,1840,2502,2868
25025170100,94,348,801,1189,1617,1853
25025170200,114,422,971,1441,1959,2245
25025170300,59,219,503,747,1015,1164
25025170400,87,322,742,1100,1496,1715
25025170501,138,512,1179,1749,2379,2726
25025170502,191,707,1627,2415,3284,3764
25025170601,120,444,1021,1515,2061,2362
25025170701,259,958,2207,3274,4452,5103
25025170702,87,320,737,1094,1488,1705
25025170800,99,366,842,1250,1700,1948
25025180101,125,463,1067,1583,2153,2467
25025180200,177,657,1512,2243,3050,3496
25025180301,255,944,2174,3225,4386,5027
25025180400,282,1045,2406,3570,4855,5565
25025180500,165,612,1409,2091,2844,3259
25025981201,0,0,0,0,0,0
25025981202,3870,14327,32983,48937,66550,76277
25025981300,2150,7958,18321,27183,36966,42370
25025981501,0,0,0,0,0,0
25025981502,0,0,0,0,0,0
25025981600,0,0,0,0,0,0
25025981800,14997,55522,127816,189644,257897,295594
28045030100,0,0,0,0,0,0
28045030200,0,0,0,0,0,0
28045030300,0,0,0,0,0,0
28045030400,0,0,0,0,0,0
28045030500,0,0,0,0,0,0
28045030602,0,0,0,0,0,0
28047000100,0,0,0,0,0,0
28047000300,0,0,0,0,0,0
28047000600,0,0,0,0,0,0
28047000900,0,0,0,0,0,0
28047001201,0,0,0,0,0,0
28047001202,0,0,0,0,0,0
28047001300,0,0,0,0,0,0
28047001400,0,0,0,0,0,0
28047001502,0,0,0,0,0,0
28047001600,0,0,0,0,0,0
28047001700,0,0,0,0,0,0
28047001800,0,0,0,0,0,0
28047001900,0,0,0,0,0,0
28047002000,0,0,0,0,0,0
28047002400,0,0,0,0,0,0
28047002800,0,0,0,0,0,0
28047002900,0,0,0,0,0,0
28047003000,0,0,0,0,0,0
28047003101,0,0,0,0,0,0
28047003102,0,0,0,0,0,0
28047003204,0,0,0,0,0,0
28047003206,0,0,0,0,0,0
28047003207,0,0,0,0,0,0
28047003208,0,0,0,0,0,0
28047003301,0,0,0,0,0,0
28047003303,0,0,0,0,0,0
28047003304,0,0,0,0,0,0
28047003402,0,0,0,0,0,0
28047003403,0,0,0,0,0,0
28047003404,0,0,0,0,0,0
28047003600,0,0,0,0,0,0
28047003800,0,0,0,0,0,0
28047003900,0,0,0,0,0,0
28047980000,0,0,0,0,0,0
28059040101,0,0,0,0,0,0
28059040102,0,0,0,0,0,0
28059040201,0,0,0,0,0,0
28059040203,0,0,0,0,0,0
28059040204,0,0,0,0,0,0
28059040300,0,0,0,0,0,0
28059040400,0,0,0,0,0,0
28059040500,0,0,0,0,0,0
28059040600,0,0,0,0,0,0
28059040700,0,0,0,0,0,0
28059040800,0,0,0,0,0,0
28059040900,0,0,0,0,0,0
28059041000,0,0,0,0,0,0
28059041100,0,0,0,0,0,0
28059041300,0,0,0,0,0,0
28059041400,0,0,0,0,0,0
28059041500,0,0,0,0,0,0
28059041600,0,0,0,0,0,0
28059041800,0,0,0,0,0,0
28059041900,0,0,0,0,0,0
28059042000,0,0,0,0,0,0
28059042100,0,0,0,0,0,0
28059042200,0,0,0,0,0,0
28059042500,0,0,0,0,0,0
28059042600,0,0,0,0,0,0
28059042700,0,0,0,0,0,0
28059042900,0,0,0,0,0,0
33015061001,1,2,5,7,10,11
33015063002,13,50,118,174,234,266
33015064000,31,120,284,420,567,643
33015065001,10,38,89,132,178,202
33015065005,28,107,253,374,505,573
33015065006,50,194,459,677,914,1037
33015065007,48,186,441,651,879,997
33015065008,39,151,358,529,714,809
33015066000,20,79,187,276,373,423
33015067000,11,42,100,148,200,227
33015067501,1,2,5,7,9,10
33015067502,0,1,3,5,6,7
33015069100,6,25,58,86,116,132
33015069200,10,38,90,133,179,203
33015069300,10,38,89,132,178,202
33015069700,8,31,74,109,147,166
33015071000,16,64,151,223,301,341
33015106200,1,4,9,13,18,20
33015106400,10,38,91,134,180,205
33015107200,7,29,69,102,138,156
33015107500,16,63,148,219,295,335
33017080100,1,2,6,9,12,14
33017080202,1,3,7,10,13,15
33017081100,0,1,4,5,7,8
33017081200,1,2,5,8,11,12
33017081300,1,2,5,8,11,12
33017081400,1,5,12,18,25,28
33017082000,1,4,10,14,20,22
34001000100,102,468,1004,1456,1987,2169
34001000200,67,304,653,946,1291,1409
34001000300,52,239,513,744,1015,1108
34001000400,75,341,731,1061,1447,1580
34001000500,66,304,652,946,1290,1409
34001001100,117,533,1143,1658,2261,2468
34001001200,66,304,651,944,1287,1405
34001001300,139,637,1365,1979,2700,2948
34001001400,62,283,608,881,1202,1312
34001001500,125,570,1221,1771,2416,2638
34001001900,155,710,1522,2208,3012,3288
34001002300,89,406,871,1263,1724,1881
34001002400,84,383,821,1191,1624,1773
34001002500,56,255,547,793,1082,1181
34001010101,70,318,682,989,1349,1473
34001010102,121,553,1186,1721,2347,2562
34001010104,155,709,1520,2205,3007,3283
34001010105,85,388,832,1207,1647,1798
34001010200,37,171,367,532,725,792
34001010300,91,414,888,1287,1756,1917
34001010401,0,0,0,0,0,0
34001010501,32,146,313,454,619,676
34001010505,82,374,801,1161,1584,1729
34001010506,13,60,129,186,254,278
34001010600,0,0,0,0,0,0
34001010700,0,0,0,0,0,0
34001011401,0,0,0,0,0,0
34001011404,0,0,0,0,0,0
34001011500,0,0,0,0,0,0
34001011600,0,0,0,0,0,0
34001011702,35,158,339,492,671,732
34001011803,0,0,0,0,0,0
34001011804,0,0,0,0,0,0
34001011805,0,0,0,0,0,0
34001011900,26,119,255,370,505,551
34001012000,48,222,475,690,941,1027
34001012100,77,353,757,1098,1498,1635
34001012302,20,90,193,280,382,417
34001012401,37,171,366,531,724,790
34001012402,36,165,355,514,702,766
34001012501,0,0,0,0,0,0
34001012502,0,0,0,0,0,0
34001012602,0,0,0,0,0,0
34001012701,0,0,0,0,0,0
34001012702,0,0,0,0,0,0
34001012801,0,0,0,0,0,0
34001012802,0,0,0,0,0,0
34001013000,68,310,664,963,1314,1434
34001013101,175,800,1715,2487,3393,3704
34001013102,64,293,629,912,1244,1357
34001013201,72,332,711,1031,1407,1536
34001013202,90,410,879,1275,1739,1898
34001013301,108,495,1060,1537,2097,2289
34001013302,80,367,788,1142,1558,1701
34001013500,92,420,899,1304,1779,1942
34003004001,17,63,120,157,194,219
34003004002,12,42,81,105,130,147
34003005000,9,34,65,85,105,119
34003012001,9,34,66,85,105,119
34003013001,9,32,61,79,97,110
34003013002,11,38,73,95,118,133
34003015300,10,35,68,89,110,124
34003015400,8,30,58,76,94,106
34003016000,11,39,76,98,121,137
34003018200,9,31,59,77,95,107
34003019102,18,63,121,158,195,220
34003021200,10,37,71,92,114,129
34003021500,11,41,79,103,128,144
34003021600,13,46,89,115,142,161
34003023100,18,65,125,163,201,227
34003023200,9,32,61,79,98,111
34003023402,10,35,68,89,110,124
34003023502,12,44,85,111,137,154
34003023601,21,77,148,192,237,268
34003023602,12,41,80,104,128,145
34003025100,9,33,63,82,101,114
34003028001,11,40,76,99,122,138
34003029100,13,47,91,118,146,165
34003029200,9,33,63,82,102,115
34003031100,0,0,0,0,0,0
34003036100,22,78,151,196,242,273
34003036200,21,77,148,192,237,268
34003037100,10,37,72,93,115,130
34003037201,15,55,105,137,169,191
34003037202,8,30,57,74,92,104
34003038100,0,0,0,0,0,0
34003038300,0,0,0,0,0,0
34003040002,13,46,89,115,142,161
34003041100,10,36,69,90,111,125
34003045200,20,72,138,180,222,251
34003046100,13,48,92,119,147,166
34003046200,15,54,103,134,166,187
34003046300,13,46,88,115,142,160
34003048100,15,54,104,135,167,189
34003051400,11,41,78,101,125,142
34003054100,7,25,49,63,78,88
34003054300,9,32,61,80,99,111
34003054400,8,27,52,68,84,95
34003054600,7,25,48,62,77,87
34003057101,13,47,91,118,146,165
34003060000,7,24,47,61,75,85
34005700102,0,0,0,0,0,0
34005700103,0,0,0,0,0,0
34005700104,0,0,0,0,0,0
34005700200,0,0,0,0,0,0
34005700303,0,0,0,0,0,0
34005700304,0,0,0,0,0,0
34005700305,0,0,0,0,0,0
34005700401,0,0,0,0,0,0
34005700407,0,0,0,0,0,0
34005700501,0,0,0,0,0,0
34005700502,0,0,0,0,0,0
34005700505,0,0,0,0,0,0
34005700602,0,0,0,0,0,0
34005700603,0,0,0,0,0,0
34005700701,0,0,0,0,0,0
34005700703,0,0,0,0,0,0
34005700800,0,0,0,0,0,0
34005700900,0,0,0,0,0,0
34005701002,0,0,0,0,0,0
34005701102,0,0,0,0,0,0
34005701103,0,0,0,0,0,0
34005701104,0,0,0,0,0,0
34005701201,0,0,0,0,0,0
34005701203,0,0,0,0,0,0
34005701204,0,0,0,0,0,0
34005701205,0,0,0,0,0,0
34005701301,0,0,0,0,0,0
34005701302,0,0,0,0,0,0
34005701303,0,0,0,0,0,0
34005701401,0,0,0,0,0,0
34005701502,0,0,0,0,0,0
34005701700,0,0,0,0,0,0
34005702603,0,0,0,0,0,0
34005702700,0,0,0,0,0,0
34005702807,0,0,0,0,0,0
34005702808,0,0,0,0,0,0
34005702809,0,0,0,0,0,0
34005702810,0,0,0,0,0,0
34005702811,0,0,0,0,0,0
34005702913,0,0,0,0,0,0
34005702914,0,0,0,0,0,0
34005703000,0,0,0,0,0,0
34005703102,0,0,0,0,0,0
34005703103,0,0,0,0,0,0
34005703104,0,0,0,0,0,0
34005703202,0,0,0,0,0,0
34005703801,0,0,0,0,0,0
34005704200,0,0,0,0,0,0
34005704600,0,0,0,0,0,0
34005704700,0,0,0,0,0,0
34007600200,1,6,12,18,24,28
34007600700,1,7,16,23,31,36
34007600800,0,2,4,7,9,10
34007600900,1,3,6,8,11,13
34007601000,0,2,4,5,7,8
34007601300,1,2,5,8,11,13
34007601400,0,2,5,7,10,12
34007601800,2,9,20,28,39,45
34007601900,1,4,9,13,17,20
34007602000,0,2,4,5,7,8
34007603200,0,2,4,5,7,8
34007603800,0,2,5,7,9,11
34007603902,1,4,9,12,17,20
34007604100,1,4,8,12,16,19
34007604200,1,3,7,11,15,17
34007604400,1,3,7,10,14,16
34007604600,1,5,12,17,23,27
34007604700,1,6,12,18,24,28
34007605100,1,5,11,16,22,26
34007605200,1,4,8,12,16,19
34007605300,1,5,12,17,23,27
34007605400,1,4,9,13,18,21
34007606300,0,0,0,0,0,0
34007607000,0,2,5,8,10,12
34007607100,0,0,0,0,0,0
34007607200,0,0,0,0,0,0
34007608206,0,0,0,0,0,0
34007608302,0,0,0,0,0,0
34007608303,0,0,0,0,0,0
34007610300,1,5,11,16,22,25
34007610500,0,1,3,5,6,7
34007610600,2,9,20,29,39,45
34007610800,1,4,9,13,17,20
34007610900,1,3,7,10,14,16
34007611000,0,2,4,5,7,9
34007611100,1,3,8,11,15,18
34007611600,1,3,6,9,12,14
34007611700,1,4,8,11,15,18
34009020101,35,159,340,494,674,735
34009020102,63,289,620,900,1227,1340
34009020201,94,430,922,1337,1824,1992
34009020203,65,299,640,928,1266,1382
34009020205,195,893,1914,2776,3787,4134
34009020206,159,728,1560,2262,3086,3369
34009020301,30,139,299,433,591,645
34009020302,30,139,299,433,591,645
34009020400,0,0,0,0,0,0
34009020600,0,0,0,0,0,0
34009020700,0,0,0,0,0,0
34009020800,0,0,0,0,0,0
34009020901,57,261,559,811,1107,1208
34009020902,0,0,0,0,0,0
34009021001,25,113,243,352,481,525
34009021002,15,70,151,219,299,326
34009021100,11,52,112,162,221,241
34009021300,14,65,139,201,275,300
34009021400,15,67,144,209,285,311
34009021500,31,143,307,445,607,662
34009021600,17,80,171,247,338,368
34009021701,20,93,199,288,393,429
34009021702,23,104,222,322,439,479
34009021803,0,0,0,0,0,0
34009021804,9,43,93,134,183,200
34009021805,13,58,124,180,246,268
34009021806,0,0,0,0,0,0
34009021900,24,111,239,346,472,515
34009022000,16,71,153,222,303,330
34009022101,33,149,320,465,634,692
34009022102,9,40,85,123,168,183
34011010101,0,0,0,0,0,0
34011010103,0,0,0,0,0,0
34011010200,0,0,0,0,0,0
34011010301,0,0,0,0,0,0
34011010302,0,0,0,0,0,0
34011010401,0,0,0,0,0,0
34011010500,0,0,0,0,0,0
34011010600,0,0,0,0,0,0
34011010700,0,0,0,0,0,0
34011020100,0,0,0,0,0,0
34011020200,0,0,0,0,0,0
34011020300,0,0,0,0,0,0
34011020503,0,0,0,0,0,0
34011020600,0,0,0,0,0,0
34011030200,0,0,0,0,0,0
34011030300,0,0,0,0,0,0
34011030501,0,0,0,0,0,0
34011030502,0,0,0,0,0,0
34013004802,74,321,664,918,1252,1467
34013007400,42,183,380,525,716,839
34013007501,48,207,429,593,809,948
34013007502,85,365,757,1047,1427,1672
34013007900,57,246,509,704,960,1125
34013008000,94,405,839,1159,1581,1852
34013008700,65,281,583,805,1098,1287
34013009200,72,310,643,889,1213,1421
34013009600,45,195,405,560,763,894
34013014400,60,259,536,741,1010,1184
34013022900,51,222,459,635,866,1014
34013980200,151,652,1351,1868,2547,2984
34015500100,0,0,0,0,0,0
34015500201,0,0,0,0,0,0
34015500202,0,0,0,0,0,0
34015500203,0,0,0,0,0,0
34015500204,0,0,0,0,0,0
34015500205,0,0,0,0,0,0
34015500300,0,0,0,0,0,0
34015500400,0,0,0,0,0,0
34015500500,0,0,0,0,0,0
34015500600,0,0,0,0,0,0
34015500701,0,0,0,0,0,0
34015500702,0,0,0,0,0,0
34015500800,0,0,0,0,0,0
34015501001,0,0,0,0,0,0
34015501002,0,0,0,0,0,0
34015501003,0,0,0,0,0,0
34015501101,0,0,0,0,0,0
34015501102,0,0,0,0,0,0
34015501103,0,0,0,0,0,0
34015501107,0,0,0,0,0,0
34015502001,0,0,0,0,0,0
34015502200,0,0,0,0,0,0
34015502300,0,0,0,0,0,0
34015502400,0,0,0,0,0,0
34017000400,0,0,0,0,0,0
34017001300,0,0,0,0,0,0
34017001701,0,0,0,0,0,0
34017002200,0,0,0,0,0,0
34017002300,0,0,0,0,0,0
34017002700,0,0,0,0,0,0
34017003500,0,0,0,0,0,0
34017004000,0,0,0,0,0,0
34017004600,0,0,0,0,0,0
34017004700,0,0,0,0,0,0
34017004800,0,0,0,0,0,0
34017005400,0,0,0,0,0,0
34017005802,0,0,0,0,0,0
34017005900,0,0,0,0,0,0
34017006100,0,0,0,0,0,0
34017006400,0,0,0,0,0,0
34017006500,0,0,0,0,0,0
34017006600,0,0,0,0,0,0
34017006700,0,0,0,0,0,0
34017006900,0,0,0,0,0,0
34017007000,0,0,0,0,0,0
34017007200,0,0,0,0,0,0
34017007300,0,0,0,0,0,0
34017007400,0,0,0,0,0,0
34017007500,0,0,0,0,0,0
34017007600,0,0,0,0,0,0
34017007700,0,0,0,0,0,0
34017007800,0,0,0,0,0,0
34017010100,0,0,0,0,0,0
34017010300,0,0,0,0,0,0
34017010500,0,0,0,0,0,0
34017010600,0,0,0,0,0,0
34017010800,0,0,0,0,0,0
34017011200,0,0,0,0,0,0
34017011400,0,0,0,0,0,0
34017011500,0,0,0,0,0,0
34017011600,0,0,0,0,0,0
34017012400,0,0,0,0,0,0
34017012500,0,0,0,0,0,0
34017012700,0,0,0,0,0,0
34017013100,0,0,0,0,0,0
34017013300,0,0,0,0,0,0
34017013400,0,0,0,0,0,0
34017013700,0,0,0,0,0,0
34017013800,0,0,0,0,0,0
34017013900,0,0,0,0,0,0
34017014101,0,0,0,0,0,0
34017014600,0,0,0,0,0,0
34017014700,0,0,0,0,0,0
34017014800,0,0,0,0,0,0
34017015001,0,0,0,0,0,0
34017015201,0,0,0,0,0,0
34017015801,0,0,0,0,0,0
34017017900,0,0,0,0,0,0
34017018200,0,0,0,0,0,0
34017018301,0,0,0,0,0,0
34017018302,0,0,0,0,0,0
34017018400,0,0,0,0,0,0
34017018500,0,0,0,0,0,0
34017018600,0,0,0,0,0,0
34017018702,0,0,0,0,0,0
34017018800,0,0,0,0,0,0
34017018900,0,0,0,0,0,0
34017019000,0,0,0,0,0,0
34017019100,0,0,0,0,0,0
34017019200,0,0,0,0,0,0
34017019300,0,0,0,0,0,0
34017019800,0,0,0,0,0,0
34017019900,0,0,0,0,0,0
34017020000,0,0,0,0,0,0
34017020100,0,0,0,0,0,0
34017980100,0,0,0,0,0,0
34021000100,0,0,0,0,0,0
34021001000,0,0,0,0,0,0
34021001101,0,0,0,0,0,0
34021001200,0,0,0,0,0,0
34021002500,0,0,0,0,0,0
34021003001,0,0,0,0,0,0
34021003003,0,0,0,0,0,0
34021003705,0,0,0,0,0,0
34021003706,0,0,0,0,0,0
34023000702,0,0,0,0,0,0
34023001100,0,0,0,0,0,0
34023001200,0,0,0,0,0,0
34023001300,0,0,0,0,0,0
34023001600,0,0,0,0,0,0
34023002701,0,0,0,0,0,0
34023002901,0,0,0,0,0,0
34023003300,0,0,0,0,0,0
34023003401,0,0,0,0,0,0
34023003500,0,0,0,0,0,0
34023003600,0,0,0,0,0,0
34023003800,0,0,0,0,0,0
34023004500,0,0,0,0,0,0
34023004600,0,0,0,0,0,0
34023004800,0,0,0,0,0,0
34023004900,0,0,0,0,0,0
34023005000,0,0,0,0,0,0
34023005100,0,0,0,0,0,0
34023006001,48,208,430,595,811,951
34023006002,0,0,0,0,0,0
34023006403,40,173,358,494,674,790
34023006701,30,130,269,372,507,594
34023006703,19,80,166,229,313,366
34023006800,23,99,205,284,387,453
34023006900,35,151,313,432,589,690
34023007000,14,62,129,178,243,285
34023007101,32,140,289,400,545,639
34023007102,24,104,216,299,408,478
34023007103,21,92,190,262,358,419
34023007202,24,104,216,299,408,478
34023007304,16,71,147,204,278,325
