,Hours lost (hours / person / year),,,,,
Tract ID,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
6013392200,0,4,14,27,43,52
6013392300,0,5,19,36,57,69
6015000101,0,0,1,3,5,6
6015000102,0,1,2,3,6,7
6015000105,0,0,1,2,3,4
6015000201,0,0,1,2,3,4
6015000202,0,0,2,3,5,7
6015000203,0,1,3,6,11,14
6023000100,2,11,36,70,122,152
6023000200,1,8,25,49,86,107
6023000400,2,14,46,89,154,193
6023000500,1,6,18,34,60,75
6023000800,2,9,29,56,97,121
6023000900,1,4,14,27,47,59
6023001000,1,4,12,23,39,49
6023001101,1,3,10,19,33,42
6023001300,6,37,118,229,397,497
6023010200,0,1,4,8,14,17
6023010400,0,3,8,17,29,36
6023010501,0,1,4,8,13,17
6023010600,8,47,147,286,497,622
6023010700,2,11,35,67,116,146
6023010800,3,17,54,105,182,227
6023011200,2,12,39,75,130,163
6023011500,0,0,0,0,0,0
6037262704,23,132,402,813,1437,1756
6037262706,33,193,585,1179,2083,2546
6037262802,38,220,667,1343,2374,2902
6037273300,41,238,721,1452,2567,3137
6037273402,44,256,777,1567,2769,3385
6037273502,46,266,805,1623,2869,3506
6037273600,59,341,1035,2085,3686,4505
6037273800,43,250,758,1528,2701,3301
6037273902,32,189,574,1156,2043,2497
6037274100,30,173,525,1057,1868,2283
6037274202,30,174,527,1063,1879,2296
6037275102,32,187,567,1142,2019,2468
6037275302,28,163,495,998,1763,2155
6037275500,24,140,425,857,1515,1851
6037275602,13,73,221,445,787,962
6037275603,49,283,860,1732,3062,3742
6037276601,32,186,564,1137,2009,2456
6037278102,43,251,760,1533,2709,3310
6037294701,25,148,447,788,1258,1537
6037294830,21,123,371,654,1043,1275
6037296210,24,143,431,753,1194,1459
6037297601,6,34,103,209,370,452
6037543400,18,103,310,533,834,1020
6037572202,40,233,708,1330,2235,2731
6037572700,19,113,343,625,1027,1255
6037572800,103,599,1813,3255,5279,6451
6037572900,22,126,381,703,1163,1422
6037573003,75,438,1329,2490,4175,5102
6037573100,22,129,391,740,1250,1528
6037574400,18,106,325,657,1162,1420
6037574500,14,84,257,521,920,1125
6037574602,77,451,1378,2787,4926,6021
6037575401,36,208,632,1199,2030,2481
6037575500,1503,8760,26596,49671,83069,101524
6037575801,73,428,1301,2469,4178,5107
6037575901,48,278,846,1605,2716,3320
6037576001,34,199,605,1148,1944,2376
6037576601,39,227,690,1310,2217,2710
6037576602,39,227,690,1309,2214,2706
6037576700,42,244,741,1404,2372,2899
6037577200,30,176,534,1013,1712,2093
6037577300,28,166,504,951,1602,1958
6037577400,49,288,875,1648,2774,3390
6037577501,42,245,745,1396,2341,2861
6037577504,115,671,2039,3847,6482,7923
6037577602,40,234,711,1326,2215,2707
6037577603,19,112,340,641,1079,1319
6037577604,72,419,1279,2587,4572,5588
