Date,Value
193302,29.59
193303,41.83
193304,49.84
193305,59.83
193306,71.56
193307,75.13
193308,71.92
193309,67.73
193310,55.2
193311,42.53
193312,36.43
193401,35.08
193402,34.32
193403,42.78
193404,53.74
193405,64.71
193406,70.68
193407,76.37
193408,73.53
193409,63.84
193410,56.52
193411,45.01
193412,32.67
193501,31.51
193502,36.01
193503,43.61
193504,49.71
193505,57.33
193506,67.64
193507,75.13
193508,72.99
193509,64.8
193510,53.8
193511,39.49
193512,30.74
193601,27.36
193602,25.23
193603,43.43
193604,50.22
193605,63.46
193606,70.61
193607,76.8
193608,74.59
193609,66.36
193610,53.49
193611,39.81
193612,34.47
193701,24.84
193702,31.73
193703,38.84
193704,50.11
193705,61.93
193706,68.79
193707,74.59
193708,74.66
193709,65.7
193710,53.89
193711,40.82
193712,32.7
193801,32.14
193802,36
193803,45.01
193804,51.73
193805,59.85
193806,68.77
193807,73.78
193808,73.72
193809,66.63
193810,56.41
193811,39.94
193812,34.21
193901,33.91
193902,29.98
193903,42.51
193904,51.53
193905,62.71
193906,68.86
193907,74.88
193908,72.64
193909,67.37
193910,54.72
193911,42.3
193912,37.72
194001,23.83
194002,33.85
194003,41.52
194004,50.23
194005,60.85
194006,69.6
194007,74.14
194008,72.14
194009,65.35
194010,56.08
194011,39
194012,36.05
194101,32.2
194102,33.53
194103,39.2
194104,52.02
194105,62.33
194106,67.8
194107,73.98
194108,72.07
194109,64.53
194110,55.2
194111,42.91
194112,36.12
194201,29.84
194202,30.74
194203,41.31
194204,53.06
194205,59.09
194206,67.91
194207,73.96
194208,71.78
194209,63.66
194210,54.57
194211,43.16
194212,32.97
194301,29.41
194302,36.28
194303,38.5
194304,52.88
194305,59.72
194306,68.77
194307,74.26
194308,73.45
194309,64.33
194310,53.69
194311,40.91
194312,32.59
194401,32.02
194402,34.5
194403,38.5
194404,48.97
194405,62.02
194406,68.36
194407,72.79
194408,72.1
194409,65.26
194410,55.27
194411,41.5
194412,30.67
194501,30.49
194502,35.28
194503,45.54
194504,50.22
194505,58.28
194506,65.88
194507,72.93
194508,72.16
194509,64.99
194510,54.14
194511,42.01
194512,29.08
194601,31.39
194602,34.88
194603,46.78
194604,54.61
194605,58.75
194606,68.32
194607,73.85
194608,71.17
194609,64.54
194610,53.15
194611,41.74
194612,36.18
194701,31.78
194702,31.41
194703,38.75
194704,50.95
194705,60.13
194706,66.72
194707,72.81
194708,74.08
194709,66.54
194710,58.8
194711,38.1
194712,32.92
194801,27.88
194802,31.62
194803,38.71
194804,53.35
194805,60.24
194806,68.76
194807,73.26
194808,72.05
194809,66.07
194810,53.19
194811,41.59
194812,32.58
194901,25.92
194902,31.91
194903,40.77
194904,52.07
194905,61.72
194906,69.24
194907,74.21
194908,72.1
194909,63.73
194910,54.05
194911,45.27
194912,33.26
195001,30.43
195002,35.55
195003,38.84
195004,48.65
195005,59.45
195006,67.93
195007,71.22
195008,70.02
195009,63.5
195010,57.47
195011,40.64
195012,33.01
195101,30.2
195102,34.54
195103,38.55
195104,49.73
195105,60.76
195106,66.65
195107,73.69
195108,71.89
195109,64.09
195110,54
195111,38.08
195112,31.23
195201,32
195202,35.46
195203,37.69
195204,51.66
195205,60.58
195206,70.75
195207,74.1
195208,72.82
195209,65.89
195210,52.95
195211,39.92
195212,33.44
195301,36.43
195302,35.87
195303,43.75
195304,48.76
195305,59.18
195306,70.18
195307,74.17
195308,72.1
195309,66.16
195310,56.21
195311,43.88
195312,33.69
195401,30.9
195402,41.41
195403,39.25
195404,54.18
195405,58.59
195406,68.85
195407,75.47
195408,72.18
195409,66.45
195410,54.68
195411,44.06
195412,33.91
195501,29.35
195502,31.05
195503,40.06
195504,52.86
195505,61.29
195506,66.54
195507,74.44
195508,73.87
195509,65.88
195510,55.04
195511,38.23
195512,31.71
195601,31.01
195602,32.27
195603,40.75
195604,49.37
195605,61.77
