Means and Medians,,1 deg,2 deg,3 deg,4 deg,5 deg
Mean - Lowest Tercile,NATIONAL,3.09E-06,8.51E-06,1.69E-05,2.42E-05,4.42E-05
Mean - Medium Tercile,NATIONAL,7.55E-06,2.24E-05,4.21E-05,6.03E-05,9.30E-05
Mean - Highest Tercile,NATIONAL,1.54E-05,3.76E-05,6.36E-05,8.81E-05,1.32E-04
Median - Loest Tercile,NATIONAL,2.92E-06,1.08E-05,2.27E-05,3.35E-05,6.01E-05
Median - Medium Tercile,NATIONAL,7.18E-06,2.24E-05,4.31E-05,6.13E-05,9.35E-05
Median - Highest Tercile,NATIONAL,1.45E-05,3.70E-05,6.07E-05,8.49E-05,1.35E-04
