Census Block,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
10030101001,0%,4%,21%,45%,62%,70%
10030101002,0%,34%,71%,83%,84%,87%
10030103002,0%,1%,4%,8%,7%,11%
10030103003,0%,26%,44%,47%,41%,48%
10030107011,0%,0%,0%,1%,6%,7%
10030107013,0%,1%,2%,2%,2%,4%
10030107014,0%,0%,2%,4%,7%,8%
10030107032,0%,0%,1%,2%,6%,11%
10030107041,0%,0%,0%,1%,10%,21%
10030107051,0%,0%,3%,7%,9%,12%
10030107052,0%,0%,0%,0%,3%,10%
10030108002,0%,0%,1%,7%,14%,17%
10030109042,1%,7%,11%,17%,20%,27%
10030109051,0%,0%,0%,0%,4%,10%
10030110001,0%,0%,2%,5%,22%,37%
10030111021,0%,1%,5%,12%,14%,22%
10030111022,0%,0%,0%,1%,12%,18%
10030112011,0%,0%,0%,1%,7%,8%
10030112012,0%,0%,0%,0%,0%,0%
10030112022,0%,0%,0%,1%,9%,14%
10030113001,0%,0%,1%,4%,18%,25%
10030113002,0%,3%,9%,15%,25%,35%
10030113003,0%,1%,2%,2%,4%,9%
10030113004,0%,2%,7%,25%,51%,62%
10030114012,0%,0%,1%,3%,8%,14%
10030114013,0%,1%,4%,7%,17%,25%
10030114014,0%,4%,10%,12%,13%,22%
10030114015,0%,1%,2%,6%,12%,19%
10030114031,0%,3%,11%,21%,33%,44%
10030114032,0%,2%,5%,10%,5%,11%
10030114033,0%,1%,6%,10%,15%,25%
10030114051,0%,0%,0%,2%,11%,17%
10030114052,0%,0%,0%,1%,10%,17%
10030114061,0%,2%,5%,6%,7%,15%
10030114062,0%,0%,0%,1%,12%,19%
10030114063,0%,0%,1%,4%,11%,17%
10030114071,0%,0%,1%,2%,5%,12%
10030114072,0%,0%,1%,6%,22%,31%
10030114073,0%,0%,0%,2%,24%,47%
10030114081,0%,0%,1%,5%,16%,24%
10030115024,0%,1%,3%,4%,11%,18%
10030116011,0%,1%,18%,27%,17%,25%
10030116012,0%,0%,1%,4%,6%,10%
10030116013,1%,4%,8%,12%,18%,25%
10030116014,1%,7%,13%,20%,30%,40%
10030116021,0%,2%,16%,26%,32%,35%
10030116022,1%,6%,17%,29%,38%,42%
10030116023,0%,6%,13%,21%,25%,32%
10030116024,0%,1%,8%,15%,21%,30%
10970002001,0%,0%,0%,0%,0%,1%
10970004011,0%,0%,0%,0%,1%,2%
10970004021,0%,0%,0%,0%,0%,0%
10970005001,0%,0%,0%,0%,5%,17%
10970006001,0%,0%,0%,0%,0%,5%
10970006002,0%,0%,0%,0%,0%,4%
10970009011,0%,0%,0%,0%,0%,0%
10970012001,0%,2%,18%,30%,38%,42%
10970018001,0%,0%,2%,4%,8%,13%
10970018002,0%,0%,0%,1%,1%,1%
10970019012,0%,0%,1%,3%,6%,9%
10970019021,0%,0%,0%,1%,2%,3%
10970019022,0%,0%,0%,0%,2%,4%
10970019023,0%,0%,2%,4%,4%,6%
10970020001,0%,0%,0%,2%,10%,14%
10970020002,0%,0%,1%,2%,4%,6%
10970022002,0%,0%,0%,0%,0%,0%
10970023013,0%,0%,0%,0%,0%,2%
10970025021,0%,0%,0%,0%,0%,1%
10970030001,0%,0%,0%,0%,0%,1%
10970037093,0%,0%,0%,0%,0%,0%
10970038001,0%,1%,3%,5%,8%,10%
10970050001,0%,0%,0%,0%,0%,1%
10970050002,0%,0%,0%,0%,0%,1%
10970053001,0%,0%,0%,1%,4%,7%
10970054002,0%,0%,1%,2%,3%,5%
10970055001,0%,0%,2%,3%,4%,4%
10970055002,0%,0%,0%,0%,0%,1%
10970056001,0%,0%,0%,0%,1%,2%
10970056002,0%,0%,0%,0%,1%,1%
10970056003,0%,0%,0%,0%,0%,0%
10970057002,0%,0%,0%,0%,0%,0%
10970057003,0%,8%,18%,23%,26%,32%
10970058001,0%,8%,16%,21%,20%,23%
10970058003,0%,8%,23%,32%,31%,36%
10970061051,0%,0%,4%,5%,9%,13%
10970066004,0%,2%,16%,34%,38%,41%
10970068021,0%,0%,0%,0%,0%,1%
10970068022,0%,0%,0%,0%,0%,0%
10970070001,0%,0%,2%,6%,9%,11%
10970070002,0%,0%,0%,1%,2%,4%
10970070003,0%,0%,1%,2%,3%,5%
10970071021,0%,0%,0%,1%,2%,5%
10970071031,0%,0%,2%,5%,7%,10%
10970071032,0%,1%,3%,5%,4%,7%
10970072011,0%,0%,3%,6%,8%,12%
10970072021,0%,1%,9%,24%,45%,52%
10970072022,0%,1%,8%,23%,33%,37%
10970072023,0%,8%,29%,40%,46%,49%
10970073001,0%,0%,2%,7%,19%,25%
10970073002,0%,4%,16%,36%,56%,60%
10970073003,0%,0%,2%,5%,11%,12%
10970073004,0%,3%,11%,29%,53%,58%
10970074001,0%,1%,4%,7%,7%,10%
10970074003,0%,0%,1%,2%,4%,7%
10970074004,0%,0%,1%,2%,2%,4%
60014015003,0%,0%,0%,0%,0%,2%
60014016001,0%,0%,0%,0%,13%,33%
60014016002,0%,0%,0%,0%,23%,44%
60014017001,0%,0%,1%,13%,52%,63%
60014017002,0%,0%,0%,2%,32%,54%
60014017003,0%,0%,0%,16%,50%,50%
60014018001,0%,0%,0%,0%,1%,5%
60014022001,0%,0%,0%,0%,3%,15%
60014022003,0%,0%,0%,1%,25%,50%
60014024001,0%,0%,0%,0%,1%,10%
60014033001,0%,0%,0%,0%,0%,3%
60014034001,0%,0%,0%,0%,2%,4%
60014053012,0%,0%,0%,0%,14%,48%
60014053021,0%,0%,0%,0%,14%,35%
60014060001,0%,0%,2%,10%,22%,34%
60014060002,0%,0%,0%,0%,0%,0%
60014060003,0%,0%,0%,0%,10%,22%
60014061002,0%,0%,0%,0%,5%,10%
60014061003,0%,0%,0%,0%,0%,1%
60014073001,0%,0%,0%,0%,30%,62%
60014073002,0%,0%,1%,4%,30%,56%
60014088001,0%,0%,0%,0%,0%,2%
60014088002,0%,0%,0%,0%,42%,77%
60014088003,0%,0%,0%,0%,7%,19%
60014088004,0%,0%,0%,0%,16%,37%
60014089001,0%,0%,0%,3%,23%,42%
60014089002,0%,0%,0%,0%,12%,32%
60014090001,0%,0%,2%,11%,27%,37%
60014090002,0%,3%,14%,21%,31%,35%
60014090003,0%,0%,1%,11%,43%,57%
60014090004,1%,1%,1%,2%,9%,11%
60014095001,0%,0%,1%,10%,16%,27%
60014105001,0%,0%,0%,0%,10%,26%
60014203003,0%,0%,0%,0%,3%,7%
60014204001,0%,0%,0%,3%,16%,25%
60014220001,11%,24%,30%,37%,49%,54%
60014220002,0%,0%,0%,0%,2%,18%
60014251011,0%,0%,0%,0%,0%,0%
60014251012,0%,0%,6%,30%,44%,46%
60014251021,0%,0%,0%,0%,0%,7%
60014251022,0%,0%,0%,0%,40%,67%
60014251023,0%,0%,1%,21%,61%,83%
60014251031,0%,0%,0%,0%,1%,5%
60014251042,0%,0%,0%,7%,30%,39%
60014271001,0%,0%,0%,2%,14%,24%
60014271002,0%,0%,0%,0%,0%,5%
60014271003,0%,0%,1%,15%,43%,58%
60014272004,0%,0%,0%,6%,15%,23%
60014273001,0%,0%,0%,0%,0%,6%
60014273002,0%,0%,0%,2%,17%,30%
60014273003,0%,0%,0%,0%,0%,19%
60014273005,0%,0%,0%,0%,20%,47%
60014276001,0%,0%,0%,0%,7%,35%
60014276002,0%,0%,0%,0%,5%,21%
60014276003,0%,0%,0%,0%,37%,69%
60014277002,0%,0%,0%,6%,17%,19%
60014277003,0%,0%,0%,11%,28%,38%
60014277004,0%,0%,0%,0%,0%,0%
60014278002,0%,0%,0%,2%,43%,59%
60014281001,0%,0%,1%,11%,37%,50%
60014282001,0%,0%,0%,18%,70%,81%
60014282002,0%,0%,0%,16%,54%,56%
60014282003,0%,0%,0%,7%,44%,59%
60014282005,0%,0%,0%,0%,0%,1%
60014283011,0%,0%,0%,2%,50%,72%
60014283012,0%,0%,0%,2%,44%,67%
60014283013,0%,0%,0%,4%,54%,73%
60014283014,0%,0%,0%,1%,12%,17%
60014283021,0%,0%,0%,1%,26%,38%
60014283022,0%,0%,0%,1%,18%,26%
60014283023,0%,0%,0%,0%,6%,9%
60014284001,0%,0%,0%,4%,30%,38%
60014285001,0%,0%,0%,0%,2%,19%
60014285002,0%,0%,0%,1%,15%,33%
60014286001,0%,0%,0%,8%,56%,73%
60014286002,0%,0%,5%,22%,54%,60%
60014286003,0%,0%,0%,16%,73%,73%
60014287001,0%,0%,0%,1%,17%,32%
60014287002,13%,29%,40%,51%,66%,73%
60014324001,0%,0%,0%,0%,0%,1%
60014324002,0%,0%,0%,0%,14%,35%
60014324003,0%,0%,0%,3%,22%,32%
60014333003,0%,0%,0%,0%,14%,34%
60014333004,0%,0%,0%,0%,0%,5%
60014334001,0%,0%,0%,0%,27%,56%
60014334002,0%,0%,0%,0%,45%,88%
60014334003,0%,0%,0%,0%,18%,36%
60014334004,0%,0%,1%,7%,19%,24%
60014334005,0%,0%,0%,0%,31%,47%
60014334006,0%,0%,0%,0%,56%,88%
60014335001,0%,0%,0%,0%,21%,39%
60014335002,0%,0%,0%,0%,32%,54%
60014335003,0%,0%,0%,0%,37%,62%
60014335004,0%,0%,0%,0%,0%,4%
60014336001,0%,0%,0%,0%,7%,18%
60014336004,0%,0%,0%,0%,10%,21%
60014359003,0%,1%,4%,31%,55%,60%
60014359004,0%,0%,0%,0%,0%,4%
60014360002,0%,0%,3%,22%,41%,50%
60014360003,0%,0%,0%,0%,12%,24%
60014371011,0%,1%,4%,12%,25%,33%
60014371012,0%,0%,0%,8%,33%,47%
60014371013,0%,0%,0%,0%,0%,1%
60014382012,0%,0%,0%,0%,0%,16%
60014382013,0%,0%,0%,0%,0%,1%
60014382031,0%,0%,2%,11%,30%,45%
60014382043,0%,0%,1%,6%,22%,35%
60014384001,0%,0%,0%,0%,0%,6%
60014384002,0%,0%,3%,22%,56%,71%
60014403012,0%,0%,0%,0%,0%,0%
60014403041,0%,0%,6%,50%,77%,77%
60014403042,0%,0%,3%,29%,64%,78%
60014403043,0%,0%,8%,61%,90%,90%
60014403051,0%,0%,3%,24%,66%,82%
60014403052,0%,0%,4%,42%,95%,100%
60014403053,0%,0%,8%,66%,100%,100%
60014403061,0%,0%,0%,0%,8%,23%
60014403062,0%,0%,0%,6%,44%,63%
60014403311,0%,0%,3%,24%,49%,54%
60014403312,0%,0%,0%,3%,28%,60%
60014403321,0%,0%,0%,2%,15%,21%
60014403322,0%,0%,4%,25%,48%,57%
60014403331,0%,0%,0%,3%,8%,17%
60014403332,0%,0%,0%,0%,0%,5%
60014403341,0%,0%,0%,0%,0%,5%
60014415011,0%,0%,0%,0%,8%,21%
60014415012,0%,0%,3%,21%,47%,57%
60014415031,0%,0%,2%,14%,27%,36%
60014443011,0%,0%,0%,0%,2%,7%
60014443012,0%,0%,2%,8%,29%,45%
60014443021,0%,0%,0%,0%,0%,1%
60014443022,0%,0%,3%,11%,22%,34%
60014446022,0%,0%,0%,3%,9%,15%
60014511013,1%,3%,4%,10%,32%,47%
60019819001,0%,0%,0%,15%,78%,89%
60019820001,0%,0%,0%,12%,63%,67%
60019832001,0%,0%,0%,7%,19%,23%
60133010001,5%,8%,10%,10%,10%,10%
60133010002,24%,28%,28%,28%,28%,28%
60133010003,3%,4%,4%,4%,4%,4%
60133020061,1%,5%,12%,17%,22%,27%
60133020062,0%,2%,9%,14%,27%,38%
60133020081,3%,7%,14%,24%,40%,52%
60133031031,0%,0%,0%,1%,7%,14%
60133040021,3%,6%,9%,11%,14%,16%
60133040031,0%,0%,0%,0%,0%,0%
60133040032,0%,0%,0%,0%,0%,0%
60133040033,0%,0%,0%,0%,0%,0%
60133040041,0%,0%,0%,0%,0%,0%
60133040042,0%,0%,0%,0%,0%,0%
60133040051,0%,3%,5%,7%,9%,12%
60133040052,5%,9%,13%,17%,21%,25%
60133050001,0%,0%,0%,0%,8%,30%
60133050003,0%,2%,4%,8%,15%,23%
60133050005,0%,0%,0%,0%,0%,2%
60133060022,0%,0%,0%,1%,14%,33%
60133060041,0%,0%,0%,0%,29%,54%
60133060042,0%,0%,0%,0%,0%,3%
60133090001,0%,0%,4%,18%,34%,37%
60133090002,0%,0%,0%,2%,6%,12%
60133100003,0%,0%,3%,20%,33%,41%
60133141021,1%,4%,7%,10%,16%,19%
60133141032,0%,0%,0%,0%,1%,5%
60133141033,0%,3%,9%,16%,23%,34%
60133142003,0%,2%,4%,5%,9%,15%
60133150001,3%,10%,18%,25%,35%,41%
60133160001,1%,1%,3%,8%,10%,13%
60133200011,2%,7%,10%,13%,19%,24%
60133200041,0%,0%,0%,6%,18%,30%
60133212001,0%,0%,0%,0%,0%,1%
60133270005,0%,0%,0%,0%,0%,0%
60133570001,0%,71%,100%,100%,100%,100%
60133570003,0%,1%,15%,21%,17%,20%
60133580004,0%,0%,0%,0%,4%,14%
60133580005,0%,0%,4%,13%,24%,35%
60133591031,0%,0%,2%,9%,23%,27%
60133591051,0%,0%,2%,17%,29%,34%
60133650021,0%,0%,2%,9%,20%,27%
60133650022,0%,0%,0%,0%,0%,9%
60133650023,0%,3%,7%,11%,19%,23%
60133770005,0%,0%,0%,0%,8%,29%
60133780001,0%,0%,0%,2%,7%,15%
60133780002,0%,0%,2%,7%,27%,39%
60133790003,0%,0%,0%,0%,0%,1%
60133790004,0%,0%,0%,2%,36%,53%
60133800001,0%,0%,0%,12%,36%,46%
60133800002,0%,0%,1%,6%,14%,18%
60133800003,0%,0%,0%,17%,62%,73%
60133820004,0%,0%,0%,0%,5%,11%
60133922002,0%,0%,2%,7%,22%,29%
60133922003,0%,0%,0%,8%,25%,28%
60133923001,0%,0%,0%,0%,0%,0%
60150001011,0%,0%,0%,4%,20%,25%
60150001021,0%,0%,0%,1%,2%,7%
60150001022,6%,11%,12%,18%,24%,32%
60150001051,0%,0%,0%,1%,2%,4%
60150001052,0%,0%,1%,3%,5%,9%
60150001053,0%,12%,43%,55%,53%,61%
60150002011,0%,0%,2%,7%,6%,13%
60150002013,2%,3%,3%,5%,6%,10%
60150002021,2%,5%,11%,18%,32%,42%
60150002022,0%,0%,0%,3%,8%,16%
60150002031,1%,12%,15%,19%,27%,35%
60230001001,0%,0%,2%,7%,24%,30%
60230002004,0%,0%,2%,10%,21%,28%
60230004001,0%,0%,0%,8%,12%,30%
60230004003,0%,3%,10%,18%,17%,19%
60230005001,0%,0%,0%,0%,0%,0%
60230005002,1%,1%,1%,10%,43%,50%
60230008001,0%,1%,12%,23%,40%,47%
60230008003,6%,11%,12%,16%,22%,26%
60230009002,1%,3%,6%,10%,19%,30%
60230009003,2%,7%,7%,14%,27%,36%
60230010004,8%,11%,14%,19%,33%,46%
60230010005,0%,0%,2%,8%,19%,29%
60230011013,0%,0%,0%,0%,0%,1%
60230013001,2%,4%,6%,8%,11%,14%
60230102001,3%,6%,8%,12%,19%,25%
60230104001,3%,6%,8%,11%,16%,21%
60230104002,7%,7%,7%,28%,13%,42%
60230105014,0%,4%,4%,8%,19%,25%
60230106001,0%,4%,8%,13%,38%,52%
60230106002,0%,0%,0%,0%,0%,4%
60230107001,0%,0%,0%,3%,7%,14%
60230107002,5%,9%,21%,33%,44%,51%
60230107003,0%,0%,0%,5%,23%,32%
60230107004,10%,19%,24%,30%,38%,39%
60230107005,0%,0%,8%,30%,56%,66%
60230108001,3%,6%,8%,11%,16%,21%
60230112002,0%,0%,0%,0%,0%,0%
60230112003,6%,10%,11%,15%,20%,28%
60230115002,0%,6%,10%,12%,16%,21%
60372627041,0%,0%,0%,0%,0%,0%
60372627061,0%,0%,0%,0%,0%,0%
60372628021,0%,0%,0%,0%,0%,0%
60372628022,0%,0%,0%,0%,0%,0%
60372733003,0%,0%,0%,0%,0%,1%
60372734021,0%,0%,0%,0%,0%,0%
60372734022,0%,0%,0%,0%,0%,0%
60372734023,0%,0%,0%,0%,0%,0%
60372734024,0%,0%,0%,0%,0%,0%
60372735021,0%,0%,0%,0%,0%,0%
60372735022,0%,0%,0%,0%,0%,0%
60372735023,0%,0%,21%,57%,57%,57%
60372735024,0%,0%,9%,33%,47%,63%
60372736002,0%,0%,0%,0%,0%,1%
60372738001,0%,0%,0%,8%,45%,47%
60372738002,0%,0%,0%,2%,29%,39%
60372738003,0%,0%,0%,3%,38%,52%
60372739021,0%,0%,27%,82%,91%,91%
60372739022,0%,0%,0%,0%,0%,0%
60372739023,0%,0%,0%,0%,0%,0%
60372739024,0%,0%,18%,50%,50%,50%
60372739025,0%,0%,0%,0%,0%,0%
60372741001,0%,0%,0%,0%,0%,1%
60372741002,0%,0%,13%,42%,71%,86%
60372742021,0%,0%,0%,0%,0%,0%
60372742022,0%,0%,0%,0%,0%,0%
60372742023,0%,0%,0%,0%,0%,0%
60372742024,0%,0%,0%,0%,0%,0%
60372751021,0%,0%,2%,49%,75%,84%
60372753022,0%,0%,1%,5%,4%,6%
60372755004,0%,0%,0%,0%,22%,32%
60372756021,0%,1%,22%,36%,35%,44%
60372756031,0%,0%,0%,0%,5%,15%
60372756032,0%,0%,0%,0%,0%,3%
60372756033,0%,0%,0%,0%,0%,6%
60372766011,0%,15%,60%,72%,80%,83%
60372781021,0%,0%,0%,0%,0%,0%
60372781022,0%,0%,2%,3%,4%,6%
60372947011,0%,0%,0%,4%,17%,30%
60372947012,0%,0%,5%,13%,11%,19%
60372948302,0%,0%,0%,0%,0%,1%
60372962101,0%,0%,0%,0%,9%,26%
60372976013,0%,0%,16%,73%,100%,100%
60375434003,0%,0%,0%,0%,0%,0%
60375722022,0%,0%,0%,0%,0%,1%
60375727001,0%,0%,0%,0%,0%,4%
60375728001,0%,0%,0%,0%,0%,4%
60375729001,0%,0%,1%,9%,20%,26%
60375729002,0%,0%,0%,0%,0%,1%
60375730031,0%,0%,8%,27%,16%,22%
60375731003,0%,0%,0%,33%,63%,75%
60375744004,0%,0%,0%,0%,11%,24%
60375745001,0%,0%,0%,0%,0%,8%
60375745002,0%,0%,0%,7%,22%,26%
60375745003,0%,0%,0%,7%,27%,39%
60375745004,0%,0%,0%,0%,7%,15%
60375746021,0%,0%,3%,14%,26%,37%
60375754011,0%,0%,4%,17%,19%,30%
60375755001,0%,0%,12%,38%,59%,72%
60375758011,0%,0%,17%,63%,57%,69%
60375759014,0%,0%,0%,12%,23%,26%
60375760011,0%,0%,0%,0%,0%,0%
60375760012,0%,0%,0%,8%,18%,22%
60375766011,0%,0%,0%,0%,0%,0%
60375766021,0%,0%,0%,0%,0%,0%
60375767002,0%,0%,0%,0%,0%,0%
60375772002,0%,0%,0%,0%,0%,0%
60375773001,0%,0%,0%,0%,8%,6%
60375773002,0%,0%,0%,0%,0%,3%
60375773003,0%,0%,0%,0%,0%,0%
60375773004,0%,0%,0%,7%,46%,48%
60375773005,0%,0%,0%,14%,57%,38%
60375773006,0%,0%,0%,0%,0%,0%
60375774002,0%,0%,0%,0%,1%,15%
60375774003,0%,0%,0%,4%,47%,55%
60375774004,0%,0%,0%,23%,100%,67%
60375775011,0%,0%,0%,10%,40%,27%
60375775012,0%,0%,0%,9%,35%,24%
60375775013,0%,0%,0%,21%,83%,56%
60375775041,0%,0%,0%,0%,0%,0%
60375775042,0%,0%,0%,0%,0%,0%
60375776022,0%,0%,0%,1%,7%,16%
60375776032,0%,0%,0%,9%,45%,46%
60375776033,0%,0%,0%,6%,23%,23%
60375776034,0%,0%,4%,17%,16%,24%
60375776035,0%,0%,0%,21%,85%,59%
60375776041,0%,0%,2%,19%,45%,45%
60375990001,0%,0%,0%,0%,36%,82%
60375991002,1%,27%,22%,27%,40%,53%
60376031023,0%,0%,0%,0%,0%,1%
60376202011,0%,0%,0%,0%,0%,0%
60376202012,0%,0%,0%,0%,0%,0%
60376203051,0%,0%,0%,0%,0%,0%
60376203054,0%,0%,0%,0%,0%,0%
60376203055,0%,0%,0%,0%,0%,0%
60376203056,0%,0%,0%,0%,0%,0%
60376203057,0%,0%,0%,0%,0%,0%
60376209041,0%,0%,0%,0%,0%,0%
60376209042,0%,0%,0%,0%,0%,0%
60376210021,0%,0%,0%,0%,0%,0%
60376210042,0%,0%,0%,0%,0%,0%
60376211042,0%,0%,0%,0%,0%,0%
60376212041,0%,0%,0%,1%,6%,9%
60376212042,0%,0%,0%,0%,0%,0%
60376213241,0%,0%,0%,0%,0%,0%
60376213261,0%,0%,0%,0%,0%,0%
60376513043,0%,0%,0%,0%,0%,0%
60376703243,0%,0%,0%,0%,0%,0%
60376703244,0%,0%,0%,0%,0%,0%
60377013043,0%,0%,0%,0%,0%,0%
60377014021,0%,0%,0%,0%,0%,0%
60377019023,0%,0%,0%,0%,0%,0%
60377020021,0%,0%,0%,0%,0%,0%
60377021021,0%,0%,0%,0%,0%,0%
60377029011,0%,1%,12%,18%,18%,20%
60377029012,27%,50%,64%,78%,83%,83%
60377029013,19%,25%,37%,47%,37%,49%
60377029014,0%,7%,15%,28%,30%,37%
60378004062,0%,0%,0%,3%,14%,24%
60378004082,0%,0%,0%,0%,0%,0%
60378004083,0%,0%,0%,0%,0%,0%
60378004084,0%,0%,0%,0%,0%,0%
60378005041,0%,0%,3%,12%,20%,31%
60378005062,0%,0%,0%,0%,0%,1%
60379800061,0%,0%,0%,0%,3%,12%
60379800071,0%,0%,2%,7%,21%,33%
60379800141,0%,2%,13%,27%,34%,40%
60379800151,0%,0%,0%,3%,10%,22%
60379800281,0%,0%,0%,0%,0%,0%
60379800301,0%,0%,0%,0%,0%,0%
60379800311,3%,8%,24%,33%,43%,51%
60379800331,1%,3%,9%,16%,21%,26%
60411011001,1%,4%,6%,9%,16%,19%
60411012001,2%,3%,5%,8%,13%,20%
60411021001,0%,0%,0%,2%,43%,56%
60411043001,0%,0%,2%,2%,3%,5%
60411050002,0%,0%,0%,0%,1%,2%
60411060013,0%,0%,2%,6%,8%,9%
60411060021,0%,0%,0%,0%,0%,0%
60411101002,0%,0%,0%,2%,24%,33%
60411101003,0%,0%,0%,5%,8%,10%
60411102001,0%,0%,0%,0%,1%,5%
60411102002,0%,0%,0%,5%,11%,17%
60411121001,0%,0%,0%,0%,0%,1%
60411122011,0%,0%,1%,17%,39%,48%
60411122012,0%,0%,0%,1%,32%,53%
60411122021,0%,0%,2%,27%,49%,51%
60411122022,0%,0%,1%,9%,41%,48%
60411191003,0%,0%,0%,7%,13%,15%
60411192012,0%,0%,0%,2%,26%,35%
60411192013,0%,0%,0%,0%,0%,0%
60411200001,0%,0%,3%,15%,15%,25%
60411200004,0%,0%,0%,4%,13%,14%
60411200005,0%,0%,0%,2%,6%,8%
60411211001,0%,0%,0%,1%,5%,10%
60411212001,0%,0%,1%,7%,29%,45%
60411212002,0%,0%,0%,1%,8%,13%
60411212003,0%,0%,0%,0%,23%,57%
60411230001,0%,0%,0%,0%,13%,22%
60411230002,0%,0%,0%,0%,25%,60%
60411241002,0%,0%,0%,1%,12%,29%
60411241003,0%,0%,0%,0%,0%,0%
60411242002,0%,0%,0%,0%,0%,0%
60411242003,0%,0%,0%,0%,0%,1%
60411242004,0%,0%,0%,0%,8%,25%
60411250001,0%,0%,0%,0%,28%,44%
60411262002,0%,0%,0%,1%,4%,9%
60411281003,0%,0%,0%,0%,0%,0%
60411282003,0%,0%,3%,17%,35%,45%
60411302012,0%,0%,0%,0%,18%,52%
60411302021,0%,0%,0%,0%,3%,11%
60411302022,0%,0%,0%,0%,0%,20%
60411311001,0%,7%,19%,22%,20%,29%
60411321001,0%,0%,0%,0%,2%,3%
60411321002,2%,3%,4%,6%,13%,21%
60411322002,0%,39%,26%,26%,3%,3%
60411322003,2%,6%,8%,10%,13%,17%
60411330001,0%,1%,3%,3%,1%,2%
60411330003,4%,8%,14%,20%,29%,41%
60411330004,0%,12%,42%,47%,44%,54%
60450102003,0%,2%,8%,11%,11%,17%
60450103001,7%,10%,23%,26%,36%,43%
60450103002,7%,7%,12%,17%,22%,29%
60450103003,9%,13%,13%,18%,22%,28%
60450104001,11%,10%,19%,26%,28%,40%
60450104002,0%,0%,0%,0%,0%,15%
60450105004,0%,16%,17%,43%,21%,31%
60450110011,3%,11%,7%,7%,13%,25%
60450110022,0%,2%,11%,11%,15%,26%
60450110023,0%,0%,0%,2%,20%,27%
60450110024,0%,0%,0%,0%,2%,15%
60450110025,27%,43%,49%,49%,29%,36%
60450111021,1%,2%,6%,13%,16%,28%
60450111022,0%,0%,0%,0%,2%,4%
60450111023,0%,2%,7%,7%,18%,45%
60530101012,1%,5%,8%,16%,18%,25%
60530102021,6%,9%,18%,22%,20%,29%
60530102022,1%,12%,29%,34%,27%,38%
60530103061,1%,2%,5%,8%,10%,16%
60530104001,0%,0%,3%,8%,17%,27%
60530104004,0%,0%,0%,0%,0%,4%
60530105041,0%,2%,27%,47%,38%,52%
60530114002,42%,61%,59%,59%,50%,56%
60530115021,2%,4%,8%,19%,28%,37%
60530116041,0%,0%,0%,5%,14%,23%
60530117003,0%,0%,0%,3%,16%,28%
60530118022,0%,36%,57%,57%,13%,42%
60530119002,0%,0%,3%,30%,30%,48%
60530119004,3%,3%,5%,13%,37%,48%
60530124011,0%,0%,1%,8%,10%,13%
60530124022,0%,0%,2%,36%,48%,65%
60530124023,0%,0%,0%,11%,56%,65%
60530125022,0%,0%,0%,2%,27%,34%
60530127002,0%,0%,9%,16%,17%,28%
60530130002,0%,1%,8%,12%,23%,35%
60530130003,0%,0%,0%,0%,0%,9%
60530133002,0%,0%,0%,0%,0%,0%
60530140001,0%,1%,1%,2%,2%,3%
60530141071,0%,0%,0%,0%,5%,10%
60530143011,0%,0%,0%,0%,0%,0%
60530143012,0%,3%,6%,13%,25%,28%
60530143021,0%,1%,4%,9%,8%,18%
60530146012,5%,9%,14%,19%,24%,31%
60530146013,3%,8%,8%,20%,30%,42%
60530147001,0%,2%,8%,11%,10%,18%
60530147002,0%,0%,1%,6%,17%,28%
60530147004,11%,16%,22%,32%,33%,43%
60552002022,0%,0%,0%,0%,0%,1%
60552002023,0%,0%,0%,0%,0%,0%
60552002031,0%,0%,0%,0%,0%,3%
60552002032,0%,0%,0%,3%,21%,31%
60552003011,0%,0%,1%,4%,17%,28%
60552003012,0%,0%,1%,8%,24%,43%
60552008022,0%,0%,0%,1%,11%,20%
60552008023,2%,16%,32%,42%,48%,56%
60552009001,15%,33%,36%,41%,45%,50%
60552010051,0%,1%,5%,15%,26%,33%
60552010061,0%,0%,0%,0%,12%,25%
60552010072,0%,0%,0%,0%,2%,7%
60552011022,8%,16%,24%,33%,39%,47%
60590421034,0%,0%,0%,0%,0%,2%
60590421062,0%,0%,9%,47%,28%,32%
60590421081,0%,0%,0%,0%,0%,11%
60590422011,0%,0%,0%,0%,0%,0%
60590422012,0%,0%,2%,3%,3%,3%
60590422015,0%,0%,0%,0%,0%,0%
60590423101,0%,0%,0%,0%,1%,7%
60590423131,0%,0%,0%,0%,0%,1%
60590626042,0%,0%,0%,0%,9%,45%
60590626051,0%,0%,0%,0%,18%,52%
60590626102,0%,0%,4%,12%,19%,30%
60590626143,0%,0%,0%,0%,0%,2%
60590626194,0%,0%,0%,0%,0%,12%
60590626324,0%,0%,0%,0%,0%,3%
60590627021,0%,0%,0%,0%,0%,0%
60590627025,0%,0%,0%,0%,0%,0%
60590628001,0%,0%,0%,0%,0%,0%
60590628002,0%,0%,0%,0%,0%,0%
60590628003,0%,0%,0%,0%,0%,0%
60590628004,0%,0%,0%,0%,0%,0%
60590629001,0%,0%,0%,4%,8%,9%
60590629002,0%,0%,0%,0%,0%,3%
60590630041,0%,0%,0%,0%,4%,11%
60590630043,0%,0%,2%,5%,6%,10%
60590630051,0%,0%,0%,0%,0%,0%
60590630061,0%,0%,0%,0%,0%,0%
60590630062,0%,0%,0%,0%,0%,0%
60590630073,0%,0%,0%,0%,31%,69%
60590630091,0%,0%,0%,1%,5%,6%
60590630103,0%,0%,1%,3%,5%,6%
